"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0071277","cellular response to calcium ion",87,0.299656142231383,1.24103093365769,0.10752688172043,0.404675077781701,0.350098867650128,4510,"tags=39%, list=24%, signal=30%","16510/16500/20979/108079/54153/17260/14282/229731/20983/192167/13829/94178/59287/20597/171180/28240/20980/22142/241066/14281/240058/11518/74020/109880/229521/11514/110862/211232/233908/65973/238276/54526/18189/12944","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0071277"
"GO:0036035","osteoclast development",17,0.4740958574623,1.36598660578518,0.107551487414188,0.404675077781701,0.350098867650128,1680,"tags=29%, list=9%, signal=27%","18472/108655/50754/54411/21943","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0036035"
"GO:0098751","bone cell development",17,0.4740958574623,1.36598660578518,0.107551487414188,0.404675077781701,0.350098867650128,1680,"tags=29%, list=9%, signal=27%","18472/108655/50754/54411/21943","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0098751"
"GO:0032786","positive regulation of DNA-templated transcription, elongation",63,0.328540861269127,1.26310447325725,0.10761154855643,0.404675077781701,0.350098867650128,4036,"tags=37%, list=21%, signal=29%","319955/20924/23989/70208/26896/57261/235497/19014/69131/192657/53817/107829/217127/69792/13132/106583/72949/228880/381379/192191/214498/94112/234959","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0032786"
"GO:0048821","erythrocyte development",45,-0.381127464816464,-1.31770950344362,0.107615894039735,0.404675077781701,0.350098867650128,1179,"tags=27%, list=6%, signal=25%","20679/11656/224792/107817/67017/12183/20807/110257/56199/15129/15122/20104","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0048821"
"GO:0042069","regulation of catecholamine metabolic process",25,-0.443149099211693,-1.36127581602072,0.107638888888889,0.404675077781701,0.350098867650128,2258,"tags=32%, list=12%, signal=28%","16409/21338/109731/15550/22346/50873/11669/13819","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0042069"
"GO:1900747","negative regulation of vascular endothelial growth factor signaling pathway",12,0.532996299988806,1.41480796526392,0.107692307692308,0.404675077781701,0.350098867650128,4817,"tags=50%, list=25%, signal=37%","13179/16159/20358/78560/74769/260299","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:1900747"
"GO:1903844","regulation of cellular response to transforming growth factor beta stimulus",141,-0.28978509767419,-1.21235160628238,0.107738998482549,0.404675077781701,0.350098867650128,3439,"tags=25%, list=18%, signal=21%","19013/241226/71954/68010/12683/13430/170676/20869/56217/16798/16189/21667/225631/21417/21803/17826/241639/12005/80288/15258/20481/15379/24063/66313/12633/21869/50724/433759/235505/171463/14275/68371/70673/50523/56213","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:1903844"
"GO:0047496","vesicle transport along microtubule",46,-0.37960570992065,-1.32367152461105,0.107843137254902,0.404826546003017,0.350229908219906,895,"tags=20%, list=5%, signal=19%","67203/75665/16573/17756/70827/16572/12794/17281/16562","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0047496"
"GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization",17,-0.488948505984369,-1.34844646328469,0.107964601769912,0.404865758776457,0.350263832591167,3788,"tags=35%, list=20%, signal=28%","78118/22022/75202/12527/280668/14275","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0007342"
"GO:0010663","positive regulation of striated muscle cell apoptotic process",25,0.418624921055782,1.33668565890164,0.107981220657277,0.404865758776457,0.350263832591167,2561,"tags=36%, list=13%, signal=31%","11938/26419/12176/26408/15357/19211/67731/319801/12333","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0010663"
"GO:0045454","cell redox homeostasis",31,-0.412163002474736,-1.31179359657649,0.108433734939759,0.406322276702795,0.351523918286383,2856,"tags=29%, list=15%, signal=25%","50493/54683/13198/112406/18024/216963/56551/18477/11758","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0045454"
"mmu00730","Thiamine metabolism",12,-0.506983068764439,-1.265290432423,0.178438661710037,0.406701105585864,0.317115871801843,2300,"tags=25%, list=12%, signal=22%","11639/11431/78801","KEGG","Transcriptomics","Down","Not significant",FALSE,"KEGG:mmu00730"
