"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"KEGG:mmu05207","KEGG","mmu05207","Chemical carcinogenesis - receptor activation",175,1.15580446588054,0.133333333333333,0.342752944458837,"110651/18667/16646/12287/16647/16452/11622/56717/18708/15519/14180/11438/14677/26413/13645/11909/18751/12286/18749/11554/13078/12289/66447/13555/11556/21943/16650/12292/12288/104111/384214/12043/18706/20848/22337/11515/16211/72508/18750/110834/22027/78284/14281/15516/16600/210044/11835/16648/11514/11798/208677/16653/14784/14864/19645/74769/14863/16649/11444/12224",86,0.936129132689905,0.570762052877138,0.943949139493878,"14872/94284/14862/18706/14863/110157/20779/23797/13849/14866/11515/14860/432530/74229/18033/26396/14865/18176/11514","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.570762052877138,4
"GO BP:GO:0050879","GO BP","GO:0050879","multicellular organismal movement",60,0.939602555743877,0.571059431524548,0.789275605735436,"16438/243931/26556/65114/56717/50769/12845/74492/12286/21955/227331",23,1.15703227223635,0.25414364640884,0.841286514605842,"21924/17883/217154/20751/22594/26889/11545/50769/65114","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.571059431524548,4
"GO BP:GO:0140962","GO BP","GO:0140962","multicellular organismal-level chemical homeostasis",80,-0.930521725409925,0.5712,0.789275605735436,"12010/63873/15368/224671/52377/23961/14178/22393/246198/242960/15587/21803/224792/11829/71753/20276/73649/13819/11998",25,0.955950090876552,0.506238859180036,0.945062073719959,"11829/18174/14151/22393/11677/27410/54446/18007","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.5712,4
"GO BP:GO:0048843","GO BP","GO:0048843","negative regulation of axon extension involved in axon guidance",27,0.921095202899539,0.571428571428571,0.789275605735436,"20346/20347/20355/20351/20357/22418/20358/20361",11,1.2259629795759,0.243445692883895,0.833555559977976,"20358/20352/20351/20355","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.571428571428571,4
"GO BP:GO:2001252","GO BP","GO:2001252","positive regulation of chromosome organization",104,1.30985105442625,0.0718085106382979,0.346955972192964,"71836/11920/26413/72162/21951/54343/223828/52864/56207/56249/245000/52040/19360/18854/14156/22589/68501/74522/75339/18768/84505/108989/105377/71514/17165/68549/12469/66591/101185/27354/11991/215387/68298/68142/54392/17535/21454",53,-0.942600684620627,0.571782178217822,0.966079390834409,"12468/21454/26914/17165/12464/218850/26400/13870/71514/14156/101706/56456/54343/59125","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.571782178217822,4
"GO BP:GO:1901992","GO BP","GO:1901992","positive regulation of mitotic cell cycle phase transition",92,1.09105912139122,0.306233062330623,0.624876985341098,"11820/72584/18795/208643/81702/76843/216021/53869/57261/20479/270201/68501/13205/18514/67141/20460/20133/74370/330216/22410/108058/69188/26554/66591",47,-0.937628591425906,0.572446555819477,0.966079390834409,"59008/81702/13205/108911/16906/11792/54451/53869/28036/74370/11629/67628/218793/18514","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.572446555819477,4
"GO BP:GO:0060688","GO BP","GO:0060688","regulation of morphogenesis of a branching structure",64,-1.30660136914571,0.0966183574879227,0.389172609462465,"20583/23892/18590/11609/12034/22414/14178/20429/16869/21803/18595/20181/20681/14182/319757/17242/12876/20682/11606",15,0.92458695103775,0.572761194029851,0.966079390834409,"11606/12387/12876/94275/12034","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.572761194029851,4
"GO BP:GO:0070830","GO BP","GO:0070830","bicellular tight junction assembly",66,-1.17319240305725,0.203225806451613,0.521547134356405,"68328/12738/16456/12739/54409/58187/20807/67451/75677/20104/14609/105244208",28,0.922810370009176,0.572953736654804,0.966079390834409,"58187/16412/18613/16150/224105/14609/68328/83814/18260","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.572953736654804,4
"KEGG:mmu00100","KEGG","mmu00100","Steroid biosynthesis",19,0.996815093460233,0.462365591397849,0.688402788713441,"15490/13595/74754/20775",14,0.906226936899016,0.572953736654804,0.943949139493878,"13360/13121/74754/66234/18194","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.572953736654804,4
"GO BP:GO:0046931","GO BP","GO:0046931","pore complex assembly",21,1.03095330620948,0.409836065573771,0.691434834187019,"17356/68585/103468",15,-0.907777494437464,0.572961373390558,0.966079390834409,"11487/72787/269966/68585/226747/218210/18439","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.572961373390558,4
