"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0033559","unsaturated fatty acid metabolic process",94,-0.418257412019896,-1.66883972811683,0.00148509946968613,0.0286560591259319,0.0247913805473234,3755,"tags=31%, list=20%, signal=25%","54486/13850/14726/11688/23945/170716/56351/67103/15446/72054/16592/74519/106648/13849/23801/26971/14870/54140/77219/14869/20250/64385/66469/625249/56448/68312/11998/76267/20249","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:0033559"
"GO:1901796","regulation of signal transduction by p53 class mediator",84,-0.423863170145097,-1.65459783630295,0.00148610394899615,0.0286560591259319,0.0247913805473234,4598,"tags=40%, list=24%, signal=31%","22187/107771/17349/230709/17246/99890/80751/17701/70103/56642/20583/80280/212937/233020/69076/68428/54673/18148/22062/192231/67956/68077/100503670/108705/50873/59092/100502825/65019/20115/67427/19941/67281/67025/20054","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:1901796"
"GO:0036503","ERAD pathway",107,0.374677664250706,1.60714217401503,0.00149862756874935,0.0288099796852905,0.0249245427223576,2283,"tags=24%, list=12%, signal=22%","20338/71472/320011/74126/230249/223455/68292/59025/12745/110616/13666/269695/72607/56228/17156/269523/233040/63958/54609/140630/233038/75212/66967/230815/66861/224109","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0036503"
"GO:0035725","sodium ion transmembrane transport",162,0.328396488383926,1.50111831732962,0.00151461074838147,0.0290292767000968,0.0251142644047097,2415,"tags=25%, list=13%, signal=22%","20265/18795/15165/110876/239556/53416/20541/59033/246317/229706/329152/11928/232975/331004/100102/54338/14169/20272/14167/240332/20273/338370/76376/75607/11735/381290/93692/94253/14411/14412/12291/11931/230899/75785/102680/17999/279561/72821/330953/545622/110893","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0035725"
"GO:0014014","negative regulation of gliogenesis",58,-0.468887927488904,-1.71313519536423,0.00152549570093862,0.0291498335143211,0.0252185624118388,1970,"tags=38%, list=10%, signal=34%","17173/14912/12257/70086/107503/217166/20665/20666/20481/103743/15904/83433/18016/64383/15208/76441/269951/50849/21907/171469/18128/14184","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:0014014"
"GO:0050905","neuromuscular process",197,0.310189352964095,1.46549244160512,0.00154216416894438,0.029379848311661,0.025417556430776,1957,"tags=21%, list=10%, signal=19%","20265/16485/11820/11941/14658/16510/16438/18472/77579/17918/243931/11804/26556/20239/234734/65114/80297/56717/50769/235439/16531/94109/12386/53321/67772/14169/14167/12845/19211/13191/16470/74492/12286/21960/14812/216856/23821/110532/21955/14810/16795/227331","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0050905"
"GO:0034976","response to endoplasmic reticulum stress",259,0.295781027418548,1.43139423651648,0.00159103051291851,0.0302200526166318,0.0261444471930574,3741,"tags=29%, list=20%, signal=23%","20338/71472/66725/27403/11820/320011/16438/74126/230249/223455/56637/208643/68292/59025/12745/110616/26408/13666/18708/269695/74006/72607/58801/56228/17156/269523/233040/63913/67878/63958/53323/14827/26926/69065/74143/69232/54609/17973/140630/19255/18854/233038/75212/66967/26943/13205/320709/230815/19418/226641/66861/224109/12043/22644/17872/51795/56807/270669/216440/70551/56085/22027/17118/19053/12282/26754/56709/16145/50527/216157/72053/53357/12317/75841","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0034976"
"GO:0099011","neuronal dense core vesicle exocytosis",12,0.711825571231574,1.8894999610281,0.00162203529634977,0.0307169908060984,0.0265743661749182,1940,"tags=58%, list=10%, signal=52%","27062/20910/20614/20983/22249/19339/382018","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0099011"
"GO:0050966","detection of mechanical stimulus involved in sensory perception of pain",23,0.593459498410073,1.84528228541973,0.00163485883770788,0.0308676918643417,0.0267047430445141,1633,"tags=30%, list=9%, signal=28%","20265/16485/230085/15558/14823/14812/23821","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0050966"
"GO:0072659","protein localization to plasma membrane",309,0.279541897573901,1.3820205240531,0.00166543122035715,0.0312127200115251,0.0270032392214927,2558,"tags=24%, list=13%, signal=21%","67300/241263/213760/72993/17356/207304/13823/16500/107975/19878/17918/20910/260302/65114/18222/80297/20660/16480/269109/238331/76686/18708/18759/23969/67295/243547/21983/98496/20742/109676/13836/16150/226744/228136/242274/13383/53869/269116/54411/213056/11735/70325/12550/216831/12995/319481/319740/381290/19339/18195/54214/11472/11931/12325/56224/52028/16795/234678/98741/76499/231580/237858/66629/76089/279561/665113/12361/74998/19062/102502/56149/226849/12306/56461/69908","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0072659"
