"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedPvalue","SharedFDR","JointPvalue"
"GO BP:GO:0030239","GO BP","GO:0030239","myofibril assembly",71,1.06079487748593,0.346774193548387,0.70799689866627,"21916/18810/225288/17260/77579/22437/19084/22003/68802/18175/21393/17888/170731/50875/226041/78321",32,-1.25679542003754,0.14945652173913,0.64989109491497,"225288/16691/24131/17128/15182/11459/13007/14248/19084/21916/74103/170731/11472/11465/226041/98932/18810/77579","Opposite",FALSE,FALSE,0.346774193548387
"GO BP:GO:0051893","GO BP","GO:0051893","regulation of focal adhesion assembly",64,1.075642214451,0.346855983772819,0.70799689866627,"69697/76707/18606/14083/19211/13640/21838/105352/17926/13144/13829/50768/11815/216560/72349/76499/22417/12631",50,-1.24773294765415,0.137931034482759,0.635388238047182,"11350/50768/72349/19877/18186/226352/64930/268709/13144/16413/20874/19247/11815/11426/76499/26921/11465/17886/94175/76707/77569","Opposite",FALSE,FALSE,0.346855983772819
"GO BP:GO:0090109","GO BP","GO:0090109","regulation of cell-substrate junction assembly",64,1.075642214451,0.346855983772819,0.70799689866627,"69697/76707/18606/14083/19211/13640/21838/105352/17926/13144/13829/50768/11815/216560/72349/76499/22417/12631",50,-1.24773294765415,0.137931034482759,0.635388238047182,"11350/50768/72349/19877/18186/226352/64930/268709/13144/16413/20874/19247/11815/11426/76499/26921/11465/17886/94175/76707/77569","Opposite",FALSE,FALSE,0.346855983772819
"GO BP:GO:1901569","GO BP","GO:1901569","fatty acid derivative catabolic process",17,-1.07490771452264,0.347408829174664,0.708669328708704,"170716/72054/67528/110959/64385",10,-1.23763719176684,0.214285714285714,0.722379141770777,"193742/11666/67041","Both negative",FALSE,FALSE,0.347408829174664
"GO MF:GO:0004725","GO MF","GO:0004725","protein tyrosine phosphatase activity",90,1.51054818947988,0.0133775613788361,0.104705143868967,"19276/19272/19258/68440/75590/72685/14083/19211/19281/19266/56405/105352/104831/252864/19255/19052/63953/74302/19274/72828/14049/19280/14050/19245/72349/70686/19277/56318/545622/19243/13537/19268/19250/19273/14051/170749/19279",53,1.065931827312,0.347417840375587,0.83521687846349,"19274/67881/19243/19245/19264/56294/209039/19283/19266/14083/19262/14050/19255","Both positive",FALSE,FALSE,0.347417840375587
"GO BP:GO:2000241","GO BP","GO:2000241","regulation of reproductive process",201,1.03828677811033,0.347826086956522,0.709292412617221,"17702/11479/20346/20910/13194/207686/22431/18795/230861/12159/18413/67141/17381/18095/12801/14180/70465/51792/240255/19215/26423/16416/17684/16000/213541/242202/11835/22353/399599/22418/170731/18749/18159/53381/240725/434438/22417/57264/19664/268491/231600/269275/11789/208144",59,1.10077049133487,0.308396946564885,0.802998488981338,"22353/57320/12317/16001/20779/16590/19215/16416/56274/12387/56449/230126","Both positive",FALSE,FALSE,0.347826086956522
"GO CC:GO:0097449","GO CC","GO:0097449","astrocyte projection",23,-1.097000628851,0.309859154929577,0.523112405275203,"20511/22350/16513/170790/17751/11932",19,1.08975926958626,0.348122866894198,0.655484512031797,"11829/11932/20511/239606/14766/26570","Opposite",FALSE,FALSE,0.348122866894198
"GO BP:GO:0009581","GO BP","GO:0009581","detection of external stimulus",134,-1.05563809772817,0.348249027237354,0.709421302767682,"14806/53871/64379/24046/320234/231252/328789/18053/20147/171395/13009/107477/20720/14539/270190/19892/57811/17869/20356/110789/22138/73750/12391/14913/237523/19881/114774/215210/24013/101772/19674/17035/16328/13864/333329/140476/18545/19712/16398/16173/20674/18582/107751/30044/18764",37,1.42857398351089,0.05320813771518,0.440146869324499,"17035/238384/215210/14688/16590/18216/319734/110911/14151/230085","Opposite",FALSE,FALSE,0.348249027237354
"GO MF:GO:0030545","GO MF","GO:0030545","signaling receptor regulator activity",436,1.0258239976712,0.348837209302326,0.664477741900374,"17311/20312/20346/14219/50722/16191/12847/399558/11820/16326/76527/329731/71839/12160/12096/12159/18413/20347/14167/110075/13640/18133/21943/14180/20750/21809/13482/54189/12161/22410/11876/216616/12156/22420/100862177/21819/100102/14169/20563/22409/13645/16000/18295/16159/209212/216795/54450/22353/326623/22418/14601/12163/230899/11601/71897/70274/239790/23893/20293/18159/20351/11516/22226/238057/20210/18183/29877/68039/20256/54635/620393/381677/12155/15234/20355/22044/11839/16002/22417/211323/108151/57264/20855/20354/16193/654465/67445/20301/11604/16334/66283/14064/278507/16994/100042150/14205/22341/83961/12918",91,1.0600907425272,0.348091603053435,0.83521687846349,"110312/22353/14167/209268/239126/20352/74840/13722/17319/12424/11606/70314/63985/12064/17242/67564/72585/18183/14225/20312/29877/16170/23934/20354/27220/11820/15191/193740/20254/13640/320265/20351/18295/17069/20359/16173/21828/54189/18133/381677/66208","Both positive",FALSE,FALSE,0.348837209302326
"GO BP:GO:0000038","GO BP","GO:0000038","very long-chain fatty acid metabolic process",34,-1.07534857589817,0.349802371541502,0.709871884777043,"170439/54325/113868/57874/11430/243078/68801/93732/19300/94180/216739/26897",20,-1.16764393046787,0.260545905707196,0.764702410945721,"216739/83603/94180/26874/19300/11666/26569/68801/14081","Both negative",FALSE,FALSE,0.349802371541502
"GO BP:GO:1900452","GO BP","GO:1900452","regulation of long-term synaptic depression",19,1.37259238851393,0.107692307692308,0.444791666666667,"16500/17762/12404/320127/29819/14265/243725/66673/11514",16,-1.07135323206507,0.349875930521092,0.837317862924986,"320127/18619/12404/11539/14680/14804","Opposite",FALSE,FALSE,0.349875930521092
"GO BP:GO:0038128","GO BP","GO:0038128","ERBB2 signaling pathway",22,1.07341601823811,0.349900596421471,0.709871884777043,"17926/13645/26413/14784/13869/11839/211323/100042150",11,1.11514515576938,0.331632653061224,0.819012563242567,"70568/26413/26417/13869/110157/26396/26395/14784/13649","Both positive",FALSE,FALSE,0.349900596421471
"GO BP:GO:0030953","GO BP","GO:0030953","astral microtubule organization",13,1.39073613468329,0.109730848861284,0.448730706940623,"76707/53869/83679/13383/72948/16211",10,-1.07825653128863,0.35,0.837317862924986,"16886/101706/76707","Opposite",FALSE,FALSE,0.35
"GO BP:GO:0043666","GO BP","GO:0043666","regulation of phosphoprotein phosphatase activity",51,1.05697601173927,0.35030549898167,0.710239081348583,"107895/227059/16150/17931/16452/76469/19878/15194/72930/71474/12953/54720/14226",35,-1.76884926359848,0.0082469036920169,0.163207696726388,"105855/64930/19049/26936/74521/16452/13003/14226/14678/17931/15194/107895/19878/52036/243819/109700/71474","Opposite",FALSE,FALSE,0.35030549898167
"GO BP:GO:0014047","GO BP","GO:0014047","glutamate secretion",37,1.08439908078292,0.316929133858268,0.689505632783556,"20910/18479/20983/67760/67903/108073/18015/226407/22044/99296/14815/14812/108068/12424/20617",24,-1.05536837528555,0.350877192982456,0.8389234303364,"67760/11539/226407/17920/18015/18439","Opposite",FALSE,FALSE,0.350877192982456
"GO MF:GO:0046527","GO MF","GO:0046527","glucosyltransferase activity",18,1.2738267883349,0.15843621399177,0.471556019001274,"22234/320011/380959/14466/230101/68304",11,1.10453963294393,0.351063829787234,0.837465309898242,"380959/14936/224143","Both positive",FALSE,FALSE,0.351063829787234
"GO BP:GO:0070252","GO BP","GO:0070252","actin-mediated cell contraction",99,1.32398645685377,0.0688976377952756,0.357448726617084,"11938/109676/238161/238871/20265/16480/170762/18706/17882/11928/12291/319710/22003/11554/12293/433809/105298/17888/19218/12289/13383/21924/24052/22349/20855/330953/16511/227753/18578/12288/108058/57342",53,-1.04834963697805,0.351274787535411,0.8389234303364,"216459/98660/109676/11928/330953/12296/11938/333433/19877/399548/226352/192176/12289/140492/100986/56320/11539/20191/227753/12288/57342/77569","Opposite",FALSE,FALSE,0.351274787535411
