"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:1905515","non-motile cilium assembly",75,0.308423443646466,1.48574505081121,0.0206304328694177,0.167151297731272,0.147936719668581,4288,"tags=36%, list=22%, signal=28%","13191/102774/52028/16568/244585/52023/235072/382571/67661/15194/17152/81896/110350/21821/234776/140810/18536/277939/70235/12727/59002/234915/20460/100039953/71769/71492/216274","GO BP","Transcriptomics","Positive","GO BP:GO:1905515"
"GO:0048306","calcium-dependent protein binding",83,0.278485315506112,1.3933616859128,0.0284194631913847,0.167633645201356,0.140616006535557,5349,"tags=43%, list=28%, signal=31%","17918/69162/11746/11750/20979/17174/20964/20614/20257/29867/20907/56398/56461/16975/20199/108073/21954/11749/17313/22318/21924/20965/18571/69165/107305/12306/170786/16952/20194/17195/67898/54524/12314/628324/330192/268934","GO MF","Transcriptomics","Positive","GO MF:GO:0048306"
"GO:1905939","regulation of gonad development",16,0.516429368696706,1.6714159199751,0.0207361969561761,0.167652997485537,0.148380747426139,4551,"tags=56%, list=24%, signal=43%","20346/22431/26423/17684/170731/22417/57264/208144/16337","GO BP","Transcriptomics","Positive","GO BP:GO:1905939"
"GO:2000179","positive regulation of neural precursor cell proliferation",81,-0.295270149623693,-1.44885868015021,0.0207452085476272,0.167652997485537,0.148380747426139,5089,"tags=44%, list=27%, signal=33%","15184/16870/15228/18129/192176/118454/22041/14371/18053/19130/18742/21907/20665/14632/18420/78748/57810/14725/15904/13051/17172/16873/14678/14707/53626/319757/16869/12032/14634/14173/22416/20674/171469/18128/14633/17242","GO BP","Transcriptomics","Negative","GO BP:GO:2000179"
"GO:0014014","negative regulation of gliogenesis",58,-0.313919531239497,-1.4638754080977,0.020803438554208,0.167754928451541,0.148470961100504,4906,"tags=41%, list=26%, signal=31%","18096/22059/14912/15208/21752/76893/18742/12579/21907/20665/17173/50849/20481/15904/20666/18016/83433/103743/76441/269951/64383/171469/14184/18128","GO BP","Transcriptomics","Negative","GO BP:GO:0014014"
"GO:1902473","regulation of protein localization to synapse",29,0.413145019993453,1.58040025545206,0.0208136461366651,0.167754928451541,0.148470961100504,2322,"tags=34%, list=12%, signal=30%","216831/216856/17762/23888/56637/74513/232370/56149/665113/13383","GO BP","Transcriptomics","Positive","GO BP:GO:1902473"
"GO:1901222","regulation of non-canonical NF-kappaB signal transduction",100,-0.277078522664719,-1.43399259268709,0.0208371506336403,0.167754928451541,0.148470961100504,4173,"tags=32%, list=22%, signal=25%","69097/72674/23892/50930/107607/58994/110957/110784/67027/19766/56496/378425/266692/18673/24105/16202/384309/83433/142980/11848/215653/18477/16792/236511/110829/16173/57373/16179/70097/56722/27050/171285","GO BP","Transcriptomics","Negative","GO BP:GO:1901222"
"GO:0032156","septin cytoskeleton",14,0.494850112357192,1.55653380868284,0.048074054630802,0.167926882074414,0.125694472209567,3197,"tags=50%, list=17%, signal=42%","50772/52398/235072/20362/17165/56526/18951","GO CC","Transcriptomics","Positive","GO CC:GO:0032156"
"mmu04919","Thyroid hormone signaling pathway",117,0.252773460463541,1.36699415584735,0.0478927203065134,0.168103448275862,0.126537608388788,3156,"tags=26%, list=16%, signal=22%","16410/11938/18708/56421/18642/56717/18798/18795/17978/23989/12159/14534/18706/21834/56637/11928/16416/20846/26413/18751/17888/26896/20502/18749/11931/18607/232975/15251/54720/22417","KEGG","Transcriptomics","Positive","KEGG:mmu04919"
"GO:0071826","protein-RNA complex organization",176,-0.242834353079729,-1.38530611618508,0.0209744089477658,0.168645944695344,0.149259552167811,1951,"tags=19%, list=10%, signal=18%","21357/56351/20826/50783/50529/72614/67332/100503670/67941/20643/236511/68011/110954/20044/105244208/14109/20103/11837/16573/68077/67832/107686/75617/67025/68193/19988/20085/20054/22121/16785/20104/67671/54127/268449","GO BP","Transcriptomics","Negative","GO BP:GO:0071826"
"GO:0051121","hepoxilin metabolic process",10,-0.609532897621434,-1.68484350565468,0.0211094022947862,0.169282384121415,0.149822830839522,2832,"tags=50%, list=15%, signal=43%","11688/14870/14869/23801/68312","GO BP","Transcriptomics","Negative","GO BP:GO:0051121"
"GO:0051122","hepoxilin biosynthetic process",10,-0.609532897621434,-1.68484350565468,0.0211094022947862,0.169282384121415,0.149822830839522,2832,"tags=50%, list=15%, signal=43%","11688/14870/14869/23801/68312","GO BP","Transcriptomics","Negative","GO BP:GO:0051122"
"GO:0010927","cellular component assembly involved in morphogenesis",129,0.256934298133211,1.38188051311369,0.0211336141589157,0.169282384121415,0.149822830839522,4226,"tags=32%, list=22%, signal=25%","21916/12805/18810/75786/232664/76707/225288/18472/17260/13823/77579/22437/15463/19084/22003/68802/18175/18711/21393/19153/17888/666173/170731/276920/16147/50875/53321/226041/78321/76499/72948/13871/67753/269116/59011/53604/237625/214105/237336/23966/192897","GO BP","Transcriptomics","Positive","GO BP:GO:0010927"
"GO:0030199","collagen fibril organization",61,0.323837498295783,1.4895120041437,0.021176656142946,0.169381869056942,0.149910879662463,5346,"tags=46%, list=28%, signal=33%","14042/12845/338366/11977/12842/12825/13078/11568/14234/17300/18015/12843/216725/12824/12306/16917/12832/18214/11595/239337/12818/12831/100952/213945/94352/210719/233405/67573","GO BP","Transcriptomics","Positive","GO BP:GO:0030199"
"GO:0007020","microtubule nucleation",35,0.386211765673126,1.57059696035822,0.021224104292382,0.169381869056942,0.149910879662463,4377,"tags=43%, list=23%, signal=33%","13191/75786/18479/76707/83431/54126/233276/83679/328580/99412/76499/72948/74237/66296/75991","GO BP","Transcriptomics","Positive","GO BP:GO:0007020"
"GO:0034205","amyloid-beta formation",47,0.340557212032562,1.47981646528169,0.021226132708113,0.169381869056942,0.149910879662463,5704,"tags=43%, list=30%, signal=30%","68585/104001/27403/23821/59287/260302/27373/20168/19878/16000/20660/12367/216028/68318/239606/23988/13548/11305/11487/21926","GO BP","Transcriptomics","Positive","GO BP:GO:0034205"
"GO:0098992","neuronal dense core vesicle",35,0.358106047679544,1.46525687389442,0.0487329434697856,0.169447574083016,0.126832721053667,4322,"tags=43%, list=23%, signal=33%","27062/11820/18386/20983/271564/11554/12293/16000/235380/207227/78808/18796/12652/13542/109648","GO CC","Transcriptomics","Positive","GO CC:GO:0098992"
"GO:0060920","cardiac pacemaker cell differentiation",11,-0.598065147549792,-1.69696531184275,0.0212677525761682,0.169500781838204,0.150016123037928,4144,"tags=73%, list=22%, signal=57%","16523/103806/21388/17292/21386/12166/23828/20429","GO BP","Transcriptomics","Negative","GO BP:GO:0060920"
"GO:0008574","plus-end-directed microtubule motor activity",15,-0.48956213453963,-1.56476383809195,0.0290740326413829,0.170477246211456,0.143001302266259,2539,"tags=40%, list=13%, signal=35%","286942/16572/70218/16551/16573/16562","GO MF","Transcriptomics","Negative","GO MF:GO:0008574"
"GO:0005342","organic acid transmembrane transporter activity",156,0.242821688919946,1.35395664876234,0.029180789892051,0.170477246211456,0.143001302266259,3475,"tags=26%, list=18%, signal=22%","20514/71781/208890/215335/94280/14411/68267/240332/83429/67473/102680/28253/216225/50934/54338/18399/67760/224022/14412/104681/20509/235504/214601/20502/114644/26367/105727/69906/18671/229517/78830/215113/212555/72961/20503/12780/69354/13521/209837/234967/26570","GO MF","Transcriptomics","Positive","GO MF:GO:0005342"
"GO:0042594","response to starvation",192,0.237025667170132,1.37143845059914,0.0214367706680572,0.170633466898563,0.151018602315812,5369,"tags=36%, list=28%, signal=26%","27053/108079/192197/26419/218035/56717/26408/277854/15467/13666/74374/58801/22628/320311/66725/107045/56032/110616/52187/100102/223255/54636/11909/26413/74370/71742/14466/74302/76747/12575/22631/68441/74244/268933/107271/225326/319481/81601/170822/320405/71999/216742/75669/22417/52639/20788/22241/544791/67443/270802/54170/217695/12043/58864/77976/18693/381393/22115/66615/231659/66734/56484/433486/100504663/57748/237253/73158/13665/209354","GO BP","Transcriptomics","Positive","GO BP:GO:0042594"
