"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",0,247,19,17692,"0/19","247/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway",0,15,19,17692,"0/19","15/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0050764","regulation of phagocytosis",0,113,19,17692,"0/19","113/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0060099","regulation of phagocytosis, engulfment",0,20,19,17692,"0/19","20/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010921","regulation of phosphatase activity",0,77,19,17692,"0/19","77/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0150172","regulation of phosphatidylcholine metabolic process",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0043551","regulation of phosphatidylinositol 3-kinase activity",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,245,19,17692,"0/19","245/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032429","regulation of phospholipase A2 activity",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010517","regulation of phospholipase activity",0,55,19,17692,"0/19","55/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1900274","regulation of phospholipase C activity",0,32,19,17692,"0/19","32/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0071071","regulation of phospholipid biosynthetic process",0,21,19,17692,"0/19","21/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1903725","regulation of phospholipid metabolic process",0,38,19,17692,"0/19","38/17692",0,1,"",1,""
