"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q9D1Q4","Dpm3","68563","Dolichol-phosphate mannosyltransferase subunit 3",0,0
"Q9ERT9","Ppp1r1a","58200","Protein phosphatase 1 regulatory subunit 1A",0,0
"Q3U5C7","Prickle1","106042","Prickle-like protein 1",0,0
"P61079","Ube2d3","66105","Ubiquitin-conjugating enzyme E2 D3",0,0
"P61080","Ube2d1","216080","Ubiquitin-conjugating enzyme E2 D1",0,0
"Q62141","Sin3b","20467","Paired amphipathic helix protein Sin3b",0,0
"P59266","Fitm2","228859","Acyl-coenzyme A diphosphatase FITM2",0,0
"Q8BRG8","Tmem209","72649","Transmembrane protein 209",0,0
"Q68ED7","Crtc1","382056","CREB-regulated transcription coactivator 1",0,0
"Q5SX39","Myh4","17884","Myosin-4",0,0
"Q99LJ0","Cttnbp2nl","80281","CTTNBP2 N-terminal-like protein",0,0
"Q9CZD5","Mtif3","76366","Translation initiation factor IF-3, mitochondrial",0,0
"Q8BQP9","Rgs7bp","52882","Regulator of G protein signaling 7-binding protein",0,0
"Q8K2A7","Ints10","70885","Integrator complex subunit 10",0,0
"Q3UHG7","Dennd11","243780","DENN domain-containing protein 11",0,0
"P09925","Surf1","20930","Surfeit locus protein 1",0,0
"Q9JII1","Inpp5e","64436","Phosphatidylinositol polyphosphate 5-phosphatase type IV",0.25,0
"Q8BGP6","Slc25a40","319653","Mitochondrial glutathione transporter SLC25A40",0,0
"Q9CXD6","Mcur1","76137","Mitochondrial calcium uniporter regulator 1",0,0
"Q9DBP5","Cmpk1","66588","UMP-CMP kinase",0,0
"P62900","Rpl31","114641","Large ribosomal subunit protein eL31",0,0
"Q62101","Prkd1","18760","Serine/threonine-protein kinase D1",0,0
"Q8BPA8","Dpcd","226162","Protein DPCD",0.25,0
"P25799","Nfkb1","18033","Nuclear factor NF-kappa-B p105 subunit",0.25,0
"Q9D5V6","Syap1","67043","Synapse-associated protein 1",0,0
"Q9D385","Arl2bp","107566","ADP-ribosylation factor-like protein 2-binding protein",0,0
"Q8BJ03","Cox15","226139","Heme A synthase COX15",0,0
"Q8VCH8","Ubxn4","67812","UBX domain-containing protein 4",0,0
"O55236","Rngtt","24018","mRNA-capping enzyme",0,0
"Q60857","Slc6a4","15567","Sodium-dependent serotonin transporter",0,0
"Q99NH2","Pard3","93742","Partitioning defective 3 homolog",0.25,0
"Q8R066","C1qtnf4","67445","Complement C1q tumor necrosis factor-related protein 4",0,0
"P62331","Arf6","11845","ADP-ribosylation factor 6",0,0
"Q8R0J7","Vps37b","330192","Vacuolar protein sorting-associated protein 37B",0,0
"Q8R0Y8","Slc25a42","73095","Mitochondrial coenzyme A transporter SLC25A42",0,0
"Q8BHD7","Ptbp3","230257","Polypyrimidine tract-binding protein 3",0,0
"Q8C0Q9","Rapgef5","217944","Rap guanine nucleotide exchange factor 5",0,0
"P97952","Scn1b","20266","Sodium channel regulatory subunit beta-1",0,0
"Q9DC48","Cdc40","71713","Pre-mRNA-processing factor 17",0,0
"Q8R0F8","Fahd1","68636","Oxaloacetate tautomerase FAHD1, mitochondrial",0,0
"Q8R3E3","Wipi1","52639","WD repeat domain phosphoinositide-interacting protein 1",0,0
"P62492","Rab11a","53869","Ras-related protein Rab-11A",0,0
"Q9CQL5","Mrpl18","67681","Large ribosomal subunit protein uL18m",0,0
"Q9JKL5","Tesc","57816","Calcineurin B homologous protein 3",0,0
"P97930","Dtymk","21915","Thymidylate kinase",0,0
"Q9CS42","Prps2","110639","Ribose-phosphate pyrophosphokinase 2",0,0
"Q9CQJ1","Higd2a","67044","HIG1 domain family member 2A",0,0
"Q9D8S9","Bola1","69168","BolA-like protein 1",0,0
"Q9Z2E9","Bscl2","14705","Seipin",0,0
"Q7TNP2","Ppp2r1b","73699","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",0.25,0
"P52800","Efnb2","13642","Ephrin-B2",0,0
"Q61831","Mapk10","26414","Mitogen-activated protein kinase 10",0,0
"Q9ERG0","Lima1","65970","LIM domain and actin-binding protein 1",0,0
"Q8VEB3","Macir","52392","Macrophage immunometabolism regulator",0.25,0.5
"Q9R1C7","Prpf40a","56194","Pre-mRNA-processing factor 40 homolog A",0,0
"Q8K3J1","Ndufs8","225887","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",0,0
"Q8BK30","Ndufv3","78330","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",0,0
"Q9CRC3","Q9CRC3","67290","UPF0235 protein C15orf40 homolog",0,0
"Q7TNV0","Dek","110052","Protein DEK",0,0
"P01878","P01878","621968","Ig alpha chain C region",0,0.5
"E9PYH6","Setd1a","233904","Histone-lysine N-methyltransferase SETD1A",0.25,0
"Q69ZS0","Pdzrn3","55983","E3 ubiquitin-protein ligase PDZRN3",0.5,0
"O09117","Sypl1","19027","Synaptophysin-like protein 1",0,0
"Q9QZD4","Ercc4","50505","DNA repair endonuclease XPF",0,0
"Q6PDJ1","Cachd1","320508","VWFA and cache domain-containing protein 1",0,0.25
"B1AUH1","Ptpru","19273","Receptor-type tyrosine-protein phosphatase U",0,0
"P15379","Cd44","12505","CD44 antigen",0,0
"P40338","Vhl","22346","von Hippel-Lindau disease tumor suppressor",0.25,0
"Q9DCG9","Trmt112","67674","Multifunctional methyltransferase subunit TRM112-like protein",0,0
"Q99JR6","Nmnat3","74080","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3",0,0
"P62315","Snrpd1","20641","Small nuclear ribonucleoprotein Sm D1",0,0
"Q9DCC7","Isoc2b","67441","Isochorismatase domain-containing protein 2B",0.25,0.25
"Q8K4F5","Abhd11","68758","sn-1-specific diacylglycerol lipase ABHD11",0,0
"P56395","Cyb5a","109672","Cytochrome b5",0,0
"Q8K2H2","Otud6b","72201","Deubiquitinase OTUD6B",0,0
"Q9D281","Fam114a1","68303","Protein Noxp20",0.25,0.25
"Q8VCW4","Unc93b1","54445","Protein unc-93 homolog B1",0.5,0.25
"P63139","Nfyb","18045","Nuclear transcription factor Y subunit beta",0.25,0.25
"A4Q9F0","Ttll7","70892","Tubulin polyglutamylase TTLL7",0,0
"P51949","Mnat1","17420","CDK-activating kinase assembly factor MAT1",0,0
"Q8VDG3","Parn","74108","Poly(A)-specific ribonuclease PARN",0,0
"Q8K449","Abca9","217262","ATP-binding cassette sub-family A member 9",0,0
"Q9ER69","Wtap","60532","Pre-mRNA-splicing regulator WTAP",0,0
"Q9DCL8","Ppp1r2","66849","Protein phosphatase inhibitor 2",0,0
"Q9CPY6","Gid4","66771","Glucose-induced degradation protein 4 homolog",0,0
"Q8CBG9","Rnf170","77733","E3 ubiquitin-protein ligase RNF170",0,0
"P97950","Rab33a","19337","Ras-related protein Rab-33A",0,0
"Q9CPR4","Rpl17","319195","Large ribosomal subunit protein uL22",0,0
"Q6P2L7","Golm2","319996","Protein GOLM2",0,0
"Q6PDC0","Rundc3b","242819","RUN domain-containing protein 3B",0,0
"Q8BXR5","Nalcn","338370","Sodium leak channel NALCN",0.25,0
"Q8C7V8","Ccdc134","76457","Coiled-coil domain-containing protein 134",0.25,0
"Q6P5C5","Smug1","71726","Single-strand selective monofunctional uracil DNA glycosylase",0,0
"Q8BHJ7","Gabra5","110886","Gamma-aminobutyric acid receptor subunit alpha-5",0,0
"Q04692","Smarcad1","13990","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1",0,0
"Q8BZ09","Slc25a21","217593","Mitochondrial 2-oxodicarboxylate carrier",0.25,0.25
"Q8BZH4","Pogz","229584","Pogo transposable element with ZNF domain",0,0
"Q6PCM2","Ints6","18130","Integrator complex subunit 6",0,0
"P28656","Nap1l1","53605","Nucleosome assembly protein 1-like 1",0,0
"Q3TZM9","Alg11","207958","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",0,0
"Q8BRN9","Cc2d1b","319965","Coiled-coil and C2 domain-containing protein 1B",0,0
"Q9DCN1","Nudt12","67993","NAD-capped RNA hydrolase NUDT12",0,0
"Q8R332","Nup58","71844","Nucleoporin p58/p45",0,0
"Q8K2I1","Fntb","110606","Protein farnesyltransferase subunit beta",0,0
"Q99KW9","Itfg1","71927","T-cell immunomodulatory protein",0,0
"P35235","Ptpn11","19247","Tyrosine-protein phosphatase non-receptor type 11",0,0
"Q61398","Pcolce","18542","Procollagen C-endopeptidase enhancer 1",0.5,0.25
"P35569","Irs1","16367","Insulin receptor substrate 1",0.25,0
"Q99KG3","Rbm10","236732","RNA-binding protein 10",0,0
"Q80ZD8","Amigo1","229715","Amphoterin-induced protein 1",0,0
"Q6P8J2","Sat2","69215","Thialysine N-epsilon-acetyltransferase",0,0
"Q91VC7","Ppp1r14a","68458","Protein phosphatase 1 regulatory subunit 14A",0,0
"Q8VC85","Lsm1","67207","U6 snRNA-associated Sm-like protein LSm1",0,0
"P62700","Ypel5","383295","Protein yippee-like 5",0,0
"Q7TS68","Nsun6","74455","tRNA (cytosine(72)-C(5))-methyltransferase NSUN6",0.5,0.25
"O54750","Cyp2j6","13110","Cytochrome P450 2J6",0,0
"Q8C4J7","Tbl3","213773","Transducin beta-like protein 3",0,0
"Q5BLK4","Tut7","214290","Terminal uridylyltransferase 7",0,0
"Q9R0C8","Vav3","57257","Guanine nucleotide exchange factor VAV3",0,0
"Q9WUU9","Mcm3ap","54387","Germinal-center associated nuclear protein",0.5,0.25
"Q9CQQ8","Lsm7","66094","U6 snRNA-associated Sm-like protein LSm7",0,0
"B1AWJ5","Tmem8b","242409","Transmembrane protein 8B",0.25,0
"Q99LL5","Pwp1","103136","Periodic tryptophan protein 1 homolog",0,0
"Q571I4","Prag1","244418","Inactive tyrosine-protein kinase PRAG1",0,0
"Q8QZV7","IntS13","71177","Integrator complex subunit 13",0.25,0
"J3QPC3","Actmap","414069","Actin maturation protease",0.5,0
"Q99JT2","Stk26","70415","Serine/threonine-protein kinase 26",0,0
"O88822","Sc5d","235293","Lathosterol oxidase",0.5,0
"Q8BG73","Sh3bgrl2","212531","SH3 domain-binding glutamic acid-rich-like protein 2",0,0
"Q80W00","Ppp1r10","52040","Serine/threonine-protein phosphatase 1 regulatory subunit 10",0,0
"P04925","Prnp","19122","Major prion protein",0,0
"Q9CQG9","Tmem100","67888","Transmembrane protein 100",0,0
"Q922J6","Tspan2","70747","Tetraspanin-2",0,0
"Q9DBH0","Wwp2","66894","NEDD4-like E3 ubiquitin-protein ligase WWP2",0,0
"Q99KS6","Adprm","66358","Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase",0,0
"P70313","Nos3","18127","Nitric oxide synthase 3",0,0.5
"Q62441","Tle4","21888","Transducin-like enhancer protein 4",0,0
"P70377","Fgf13","14168","Fibroblast growth factor 13",0,0
"Q924M7","Mpi","110119","Mannose-6-phosphate isomerase",0,0
"O54984","Get3","56495","ATPase GET3",0,0
"Q9CQ21","Mcts2","66405","Malignant T-cell-amplified sequence 2",0.5,0.5
"Q9D903","Ebna1bp2","69072","Probable rRNA-processing protein EBP2",0,0
"Q9QZ88","Vps29","56433","Vacuolar protein sorting-associated protein 29",0,0
"P98084","Apba2","11784","Amyloid-beta A4 precursor protein-binding family A member 2",0,0
"Q7TMY7","Ipo8","320727","Importin-8",0.25,0.5
"Q9DAA6","Exosc1","66583","Exosome complex component CSL4",0,0
"Q8BYC6","Taok3","330177","Serine/threonine-protein kinase TAO3",0,0
"P59279","Rab2b","76338","Ras-related protein Rab-2B",0,0
"Q5SS80","Dhrs13","70451","Dehydrogenase/reductase SDR family member 13",0,0
"Q9CPS8","Akap19","67080","A-kinase anchoring protein 19",0,0
"Q8K2P7","Slc38a1","105727","Sodium-coupled neutral amino acid symporter 1",0,0
"Q91VU7","Pus7","78697","Pseudouridylate synthase 7 homolog",0,0.25
"Q78J03","Msrb2","76467","Methionine-R-sulfoxide reductase B2, mitochondrial",0,0
"Q8R0P4","Aamdc","66273","Mth938 domain-containing protein",0,0
"Q9CQF4","Mtres1","67851","Mitochondrial transcription rescue factor 1",0,0
"Q921L3","Tmco1","68944","Calcium load-activated calcium channel",0,0
"Q8BZJ8","Q8BZJ8","320492","Uncharacterized protein C8orf34 homolog",0.25,0
"Q8K3C3","Lzic","69151","Protein LZIC",0,0
"Q9JJF9","Sppl2a","66552","Signal peptide peptidase-like 2A",0.5,0.25
"Q7TPE5","Slc7a6os","66432","Probable RNA polymerase II nuclear localization protein SLC7A6OS",0,0
"O89104","Sypl2","17306","Synaptophysin-like protein 2",0.5,0.5
"Q9CR24","Nudt8","66387","Mitochondrial coenzyme A diphosphatase NUDT8",0.25,0
"Q9CZJ9","Dnajc18","76594","DnaJ homolog subfamily C member 18",0,0
"Q9WTQ8","Timm23","53600","Mitochondrial import inner membrane translocase subunit Tim23",0,0
"Q3TXX3","Zfyve27","319740","Protrudin",0,0
"Q9Z2A9","Ggt5","23887","Glutathione hydrolase 5 proenzyme",0.5,0.25
"P27641","Xrcc5","22596","DNA repair protein Ku80",0,0
"Q9D2R8","Mrps33","14548","Small ribosomal subunit protein mS33",0,0
"Q7TT23","Dnaaf9","228602","Dynein axonemal assembly factor 9",0.25,0.5
"Q60648","Gm2a","14667","Ganglioside GM2 activator",0,0
"Q8VHV1","Baalc","118452","Brain and acute leukemia cytoplasmic protein",0,0
"Q8CEC5","Nkiras1","69721","NF-kappa-B inhibitor-interacting Ras-like protein 1",0,0
"P11862","Gas2","14453","Growth arrest-specific protein 2",0,0
"O09164","Sod3","20657","Extracellular superoxide dismutase [Cu-Zn]",0,0
"Q3UW53","Niban1","63913","Protein Niban 1",0.25,0
"P25785","Timp2","21858","Metalloproteinase inhibitor 2",0,0
"Q80YT7","Pde4dip","83679","Myomegalin",0,0
"Q8CBH5","Mfsd6","98682","Major facilitator superfamily domain-containing protein 6",0,0
"P50396","Gdi1","14567","Rab GDP dissociation inhibitor alpha",0,0
"P03953","Cfd","11537","Complement factor D",0,0.25
"Q62086","Pon2","330260","Serum paraoxonase/arylesterase 2",0,0
"B2RWS6","Ep300","328572","Histone acetyltransferase p300",0,0
"Q99P30","Nudt7","67528","Peroxisomal coenzyme A diphosphatase NUDT7",0,0
"Q9QXJ4","Arl10","56795","ADP-ribosylation factor-like protein 10",0.25,0
"Q8R1V4","Tmed4","103694","Transmembrane emp24 domain-containing protein 4",0,0
"Q61263","Soat1","20652","Sterol O-acyltransferase 1",0,0
"Q99M01","Fars2","69955","Phenylalanine--tRNA ligase, mitochondrial",0,0
"Q6NXM2","Rcbtb1","71330","RCC1 and BTB domain-containing protein 1",0,0
"Q8BQ47","Cnpy4","66455","Protein canopy homolog 4",0,0
"Q8BGN8","Synpr","72003","Synaptoporin",0,0
"P70295","Aup1","11993","Lipid droplet-regulating VLDL assembly factor AUP1",0,0
"Q6AXF6","Sidt1","320007","SID1 transmembrane family member 1",0,0
"Q9R1Q9","Atp6ap1","54411","V-type proton ATPase subunit S1",0,0
"Q91WF0","Tafazzin","66826","Tafazzin",0.25,0
"Q8BLC3","Lypd1","72585","Ly6/PLAUR domain-containing protein 1",0,0
"Q924H7","Wac","225131","WW domain-containing adapter protein with coiled-coil",0,0
"P52503","Ndufs6","407785","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",0,0
"Q9Z0J0","Npc2","67963","NPC intracellular cholesterol transporter 2",0,0
"Q8BHB4","Wdr3","269470","WD repeat-containing protein 3",0.25,0.25
"Q9CQZ5","Ndufa6","67130","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",0,0
"Q60953","Pml","18854","Protein PML",0.25,0
"Q9CX84","Rgs19","56470","Regulator of G protein signaling 19",0.25,0.25
"O70200","Aif1","11629","Allograft inflammatory factor 1",0,0
"Q8BJM5","Slc30a6","210148","Zinc transporter 6",0,0
"P38060","Hmgcl","15356","Hydroxymethylglutaryl-CoA lyase, mitochondrial",0,0
"P13541","Myh3","17883","Myosin-3",0,0
"Q5SX79","Shroom1","71774","Protein Shroom1",0.25,0
"Q9EP89","Lactb","80907","Serine beta-lactamase-like protein LACTB, mitochondrial",0,0
"Q8R2U6","Nudt4","71207","Diphosphoinositol polyphosphate phosphohydrolase 2",0,0
"P63254","Crip1","12925","Cysteine-rich protein 1",0,0
"Q99020","Hnrnpab","15384","Heterogeneous nuclear ribonucleoprotein A/B",0,0
"Q8JZS0","Lin7a","108030","Protein lin-7 homolog A",0,0
"Q61127","Nab2","17937","NGFI-A-binding protein 2",0,0.25
"Q8CHG5","Arel1","68497","Apoptosis-resistant E3 ubiquitin protein ligase 1",0,0
"Q99LY9","Ndufs5","595136","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5",0,0
"Q8BH31","Mfsd8","72175","Major facilitator superfamily domain-containing protein 8",0.5,0.5
"Q7TPD2","Fam185a","330050","Protein FAM185A",0,0
"Q7TPM9","Mtmr10","233315","Myotubularin-related protein 10",0.5,0.5
"Q9R0Q4","Morf4l2","56397","Mortality factor 4-like protein 2",0,0
"Q6ZQ89","Marchf6","223455","E3 ubiquitin-protein ligase MARCHF6",0.5,0.25
"Q07456","Ambp","11699","Protein AMBP",0,0.5
"Q9D3E6","Stag1","20842","Cohesin subunit SA-1",0,0
"Q8R5A6","Tbc1d22a","223754","TBC1 domain family member 22A",0,0
"Q60668","Hnrnpd","11991","Heterogeneous nuclear ribonucleoprotein D0",0,0
"O08543","Efna5","13640","Ephrin-A5",0,0
"Q6VH22","Ift172","67661","Intraflagellar transport protein 172 homolog",0.25,0.5
"Q8R2Q4","Gfm2","320806","Ribosome-releasing factor 2, mitochondrial",0,0
"P07742","Rrm1","20133","Ribonucleoside-diphosphate reductase large subunit",0,0
"Q6NS46","Pdcd11","18572","Protein RRP5 homolog",0,0
"Q8BHR8","Cstpp1","228356","Centriolar satellite-associated tubulin polyglutamylase complex regulator 1",0,0
"Q0P5V2","Sobp","109205","Sine oculis-binding protein homolog",0.5,0.25
"Q9CQC7","Ndufb4","100041273","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4",0,0
"Q61475","Cd55","13136","Complement decay-accelerating factor, GPI-anchored",0,0.25
"Q6ZWQ0","Syne2","319565","Nesprin-2",0,0
"Q9R1Z7","Pts","19286","6-pyruvoyl tetrahydrobiopterin synthase",0,0
"Q8C5N3","Cwc22","80744","Pre-mRNA-splicing factor CWC22 homolog",0,0.25
"Q8BGA5","Krr1","52705","KRR1 small subunit processome component homolog",0.25,0.25
"Q9DC16","Ergic1","67458","Endoplasmic reticulum-Golgi intermediate compartment protein 1",0,0
"Q8K358","Pigu","228812","GPI-anchor transamidase component PIGU",0,0
"Q9WTP5","Cdh22","104010","Cadherin-22",0,0.25
"Q920A7","Afg3l1","114896","Mitochondrial inner membrane m-AAA protease component AFG3L1",0,0
"Q9D486","Cmip","74440","C-Maf-inducing protein",0,0
"A2AWR3","Gpr155","68526","Lysosomal cholesterol signaling protein",0.25,0.25
"Q9CQP2","Trappc2","66226","Trafficking protein particle complex subunit 2",0,0
"Q8BMS4","Coq3","230027","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",0,0
"Q9CZ28","Snf8","27681","Vacuolar-sorting protein SNF8",0,0
"Q00899","Yy1","22632","Transcriptional repressor protein YY1",0,0
"Q9CR76","Tmem186","66690","Transmembrane protein 186",0,0
"A4FUP9","Glt1d1","319804","Glycosyltransferase 1 domain-containing protein 1",0.25,0
"Q8BMG8","Slc25a32","69906","Solute carrier family 25 member 32",0,0
"Q8BL74","Gtf3c2","71752","General transcription factor 3C polypeptide 2",0,0
"Q8BY71","Hat1","107435","Histone acetyltransferase type B catalytic subunit",0,0.25
"O35730","Ring1","19763","E3 ubiquitin-protein ligase RING1",0,0
"P97450","Atp5pf","11957","ATP synthase peripheral stalk subunit F6, mitochondrial",0,0
"P56481","Cckbr","12426","Gastrin/cholecystokinin type B receptor",0,0
"P07758","Serpina1a","20700","Alpha-1-antitrypsin 1-1",0,0
"Q00896","Serpina1c","20702","Alpha-1-antitrypsin 1-3",0,0
"O88874","Ccnk","12454","Cyclin-K",0,0
"Q8CI70","Lrrc20","216011","Leucine-rich repeat-containing protein 20",0,0
"Q8BTE0","Sdhaf4","68002","Succinate dehydrogenase assembly factor 4, mitochondrial",0,0
"Q9CZQ9","Bbs5","72569","BBSome complex member BBS5",0,0.25
"Q91ZE0","Tmlhe","192289","Trimethyllysine dioxygenase, mitochondrial",0,0.5
"P29788","Vtn","22370","Vitronectin",0,0
"P63032","Rasd2","75141","GTP-binding protein Rhes",0.5,0.5
"Q9WUL7","Arl3","56350","ADP-ribosylation factor-like protein 3",0,0
"Q6ZQ03","Fnbp4","55935","Formin-binding protein 4",0.5,0.25
"Q3UX10","Tubal3","238463","Tubulin alpha chain-like 3",0,0
"Q02384","Sos2","20663","Son of sevenless homolog 2",0,0
"Q504M2","Pdp2","382051","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial",0,0
"P59672","Anks1a","224650","Ankyrin repeat and SAM domain-containing protein 1A",0,0
"P05622","Pdgfrb","18596","Platelet-derived growth factor receptor beta",0,0
"Q9QUQ5","Trpc4","22066","Short transient receptor potential channel 4",0,0
"Q8K2Y7","Mrpl47","74600","Large ribosomal subunit protein uL29m",0,0
"Q62186","Ssr4","20832","Translocon-associated protein subunit delta",0,0
"Q9CZM2","Rpl15","66480","Large ribosomal subunit protein eL15",0,0
"Q8K0T7","Unc13c","208898","Protein unc-13 homolog C",0,0
"Q8K199","Cmc2","66531","COX assembly mitochondrial protein 2 homolog",0,0
"Q9Z2G9","Htatip2","53415","Protein HTATIP2",0,0
"Q80YC5","F12","58992","Coagulation factor XII",0,0
"Q9DCC8","Tomm20","67952","Mitochondrial import receptor subunit TOM20 homolog",0,0
"Q99JT6","Tlcd1","68385","TLC domain-containing protein 1",0,0
"O35215","Ddt","13202","D-dopachrome decarboxylase",0,0
"Q9ES70","Nek6","59126","Serine/threonine-protein kinase Nek6",0.5,0
"Q8JZU2","Slc25a1","13358","Tricarboxylate transport protein, mitochondrial",0,0
"Q78WH7","Camk2n2","73047","Calcium/calmodulin-dependent protein kinase II inhibitor 2",0,0
"Q8VDP6","Cdipt","52858","CDP-diacylglycerol--inositol 3-phosphatidyltransferase",0,0
"Q91VL8","Terf2ip","57321","Telomeric repeat-binding factor 2-interacting protein 1",0,0
"P97328","Khk","16548","Ketohexokinase",0,0.25
"Q9QXD8","Limd1","29806","LIM domain-containing protein 1",0.25,0
"Q56A07","Scn2b","72821","Sodium channel regulatory subunit beta-2",0,0
"O70579","Slc25a17","20524","Peroxisomal membrane protein PMP34",0,0
"Q8BUH8","Senp7","66315","Sentrin-specific protease 7",0,0
"Q9D0F6","Rfc5","72151","Replication factor C subunit 5",0,0.25
"P52431","Pold1","18971","DNA polymerase delta catalytic subunit",0,0.25
"Q9CWW6","Pin4","69713","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4",0,0
"B2RVW2","Clrn2","624224","Clarin-2",0,0
"Q9JKW0","Arl6ip1","54208","ADP-ribosylation factor-like protein 6-interacting protein 1",0,0
"P70403","Cux1","13047","Protein CASP",0.25,0.5
"Q8BZ60","Ston2","108800","Stonin-2",0,0
"Q9D7S7","Rpl22l1","68028","Ribosomal protein eL22-like 1",0,0
"Q8BP78","Fra10ac1","70567","Protein FRA10AC1 homolog",0,0
"B2RWJ3","Tmem240","381582","Transmembrane protein 240",0,0
"O88895","Hdac3","15183","Histone deacetylase 3",0,0
"P49962","Srp9","27058","Signal recognition particle 9 kDa protein",0,0
"P39429","Traf2","22030","TNF receptor-associated factor 2",0,0
"O54782","Man2b2","17160","Epididymis-specific alpha-mannosidase",0,0
"Q91ZF0","Dnajc24","99349","DnaJ homolog subfamily C member 24",0,0
"Q64338","Pde1c","18575","Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",0.5,0.5
"G5E8P0","Tubgcp6","328580","Gamma-tubulin complex component 6",0,0
"P97760","Polr2c","20021","DNA-directed RNA polymerase II subunit RPB3",0,0
"P62743","Ap2s1","232910","AP-2 complex subunit sigma",0,0
"Q9CX13","Cnih4","98417","Protein cornichon homolog 4",0,0
"Q9QZ23","Nfu1","56748","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",0,0
"Q3TQB2","Foxred1","235169","FAD-dependent oxidoreductase domain-containing protein 1",0,0
"Q8BNJ3","Nmnat2","226518","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2",0.25,0
"P48168","Glrb","14658","Glycine receptor subunit beta",0.25,0
"P63158","Hmgb1","15289","High mobility group protein B1",0,0
"Q9CPV2","Anapc16","52717","Anaphase-promoting complex subunit 16",0,0
"Q9D5R2","Wdr20","70948","WD repeat-containing protein 20",0,0
"P01942","Hba","110257","Hemoglobin subunit alpha",0,0
"A2RSY6","Trmt1l","98685","tRNA (guanine(27)-N(2))-dimethyltransferase",0,0
"P17439","Gba1","14466","Lysosomal acid glucosylceramidase",0,0
"Q8BFR4","Gns","75612","N-acetylglucosamine-6-sulfatase",0,0
"Q8K070","Samd14","217125","Sterile alpha motif domain-containing protein 14",0,0
"Q9JMF7","Dolpp1","57170","Dolichyldiphosphatase 1",0,0
"Q91YY4","Atpaf2","246782","ATP synthase mitochondrial F1 complex assembly factor 2",0,0
"P60882","Megf8","269878","Multiple epidermal growth factor-like domains protein 8",0,0
"Q9JKB1","Uchl3","50933","Ubiquitin carboxyl-terminal hydrolase isozyme L3",0,0
"Q91WE4","Q91WE4","407819","UPF0729 protein C18orf32 homolog",0,0
"Q8K1S1","Lgi4","243914","Leucine-rich repeat LGI family member 4",0,0
"Q9CY16","Mrps28","66230","Small ribosomal subunit protein bS1m",0,0
"Q8BWU8","Etnppl","71760","Ethanolamine-phosphate phospho-lyase",0,0
"Q3V3Q7","Pacs2","217893","Phosphofurin acidic cluster sorting protein 2",0,0
"Q8BM39","Prpf18","67229","Pre-mRNA-splicing factor 18",0.25,0.25
"P17809","Slc2a1","20525","Solute carrier family 2, facilitated glucose transporter member 1",0,0
"P61969","Lmo4","16911","LIM domain transcription factor LMO4",0,0
"Q9D8Z1","Ascc1","69090","Activating signal cointegrator 1 complex subunit 1",0,0
"Q8BPG6","Sumf2","67902","Inactive C-alpha-formylglycine-generating enzyme 2",0,0
"Q8R3F9","Tut1","70044","Speckle targeted PIP5K1A-regulated poly(A) polymerase",0,0.25
"Q9QYK7","Rnf11","29864","RING finger protein 11",0,0
"P97290","Serping1","12258","Plasma protease C1 inhibitor",0,0
"P70170","Abcc9","20928","ATP-binding cassette sub-family C member 9",0,0
"Q9DBQ7","Scyl3","240880","Protein-associating with the carboxyl-terminal domain of ezrin",0,0
"Q99N89","Mrpl43","94067","Large ribosomal subunit protein mL43",0,0
"P62245","Rps15a","267019","Small ribosomal subunit protein uS8",0,0
"Q9CZT6","Cmss1","66497","Protein CMSS1",0,0
"Q8K3G5","Vrk3","101568","Serine/threonine-protein kinase VRK3",0.5,0.25
"P46412","Gpx3","14778","Glutathione peroxidase 3",0,0
"Q03141","Mark3","17169","MAP/microtubule affinity-regulating kinase 3",0,0
"Q9CQV6","Map1lc3b","67443","Microtubule-associated protein 1 light chain 3 beta",0,0
"Q91VR7","Map1lc3a","66734","Microtubule-associated protein 1 light chain 3 alpha",0,0
"Q3THJ3","Eif1ad","69860","Probable RNA-binding protein EIF1AD",0,0
"O08601","Mttp","17777","Microsomal triglyceride transfer protein large subunit",0.25,0
"Q924T2","Mrps2","118451","Small ribosomal subunit protein uS2m",0,0
"O08573","Lgals9","16859","Galectin-9",0.25,0
"Q91ZG2","Mpped1","223726","Metallophosphoesterase domain-containing protein 1",0,0.25
"Q67BT3","Slc13a5","237831","Na(+)/citrate cotransporter",0,0
