"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"P31230","Aimp1","13722","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",0,0
"P57776","Eef1d","66656","Elongation factor 1-delta",0,0
"Q9CQX2","Cyb5b","66427","Cytochrome b5 type B",0,0
"O70172","Pip4k2a","18718","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha",0,0
"Q8BG40","Katnb1","74187","Katanin p80 WD40 repeat-containing subunit B1",0,0
"Q02248","Ctnnb1","12387","Catenin beta-1",0,0
"Q6ZQ58","Larp1","73158","La-related protein 1",0,0
"P15105","Glul","14645","Glutamine synthetase",0,0
"O08989","Mras","17532","Ras-related protein M-Ras",0,0
"Q8BHS3","Rbm22","66810","Pre-mRNA-splicing factor RBM22",0,0
"Q9D5V5","Cul5","75717","Cullin-5",0,0
"P51855","Gss","14854","Glutathione synthetase",0,0
"Q9JLI8","Sart3","53890","Spliceosome associated factor 3, U4/U6 recycling protein",0,0
"Q99J36","Thumpd1","233802","THUMP domain-containing protein 1",0,0
"Q923T9","Camk2g","12325","Calcium/calmodulin-dependent protein kinase type II subunit gamma",0,0
"Q9QZ06","Tollip","54473","Toll-interacting protein",0,0
"P28652","Camk2b","12323","Calcium/calmodulin-dependent protein kinase type II subunit beta",0,0
"Q9WTM5","Ruvbl2","20174","RuvB-like 2",0,0
"P12382","Pfkl","18641","ATP-dependent 6-phosphofructokinase, liver type",0,0
"P63073","Eif4e","13684","Eukaryotic translation initiation factor 4E",0,0
"P14873","Map1b","17755","Microtubule-associated protein 1B",0,0
"Q9D662","Sec23b","27054","Protein transport protein Sec23B",0,0
"Q8CG72","Adprs","100206","ADP-ribosylhydrolase ARH3",0,0
"Q99L88","Sntb1","20649","Beta-1-syntrophin",0,0
"Q8BHK0","Pnma2","239157","Paraneoplastic antigen Ma2 homolog",0.5,0.5
"O35621","Pmm1","29858","Phosphomannomutase 1",0,0
"Q8C1B7","Septin11","52398","Septin-11",0,0
"Q9JME7","Trappc2l","59005","Trafficking protein particle complex subunit 2-like protein",0,0
"Q8BZM1","Glmn","170823","Glomulin",0,0
"Q8BWQ6","Vps35l","71517","VPS35 endosomal protein-sorting factor-like",0,0
"Q61166","Mapre1","13589","Microtubule-associated protein RP/EB family member 1",0,0
"Q6PER3","Mapre3","100732","Microtubule-associated protein RP/EB family member 3",0,0
"Q3TLS3","Gdpgp1","269952","GDP-D-glucose phosphorylase 1",0,0
"Q4VC33","Maea","59003","E3 ubiquitin-protein transferase MAEA",0,0
"Q61187","Tsg101","22088","Tumor susceptibility gene 101 protein",0,0
"P54726","Rad23a","19358","Lysine-specific demethylase RAD23A",0,0
"Q14BB9","Map6d1","208158","MAP6 domain-containing protein 1",0,0
"Q7TSJ2","Map6","17760","Microtubule-associated protein 6",0,0
"Q9WV32","Arpc1b","11867","Actin-related protein 2/3 complex subunit 1B",0,0
"P59108","Cpne2","234577","Copine-2",0,0
"Q60605","Myl6","17904","Myosin light polypeptide 6",0,0
"Q60931","Vdac3","22335","Non-selective voltage-gated ion channel VDAC3",0,0
"P60710","Actb","11461","Actin, cytoplasmic 1",0,0
"P63260","Actg1","11465","Actin, cytoplasmic 2",0,0
"Q9CPR1","Rwdd4","192174","RWD domain-containing protein 4",0,0
"Q9D3A9","Ttyh1","57776","Protein tweety homolog 1",0,0
"Q91WQ3","Yars1","107271","Tyrosine--tRNA ligase, cytoplasmic",0,0
"Q80U93","Nup214","227720","Nuclear pore complex protein Nup214",0,0
"Q5M8N0","Cnrip1","380686","CB1 cannabinoid receptor-interacting protein 1",0,0
"Q91V61","Sfxn3","94280","Sideroflexin-3",0,0
"G5E829","Atp2b1","67972","Plasma membrane calcium-transporting ATPase 1",0,0
"Q9R0K7","Atp2b2","11941","Plasma membrane calcium-transporting ATPase 2",0,0
"Q6PEE3","Rrm2b","382985","Ribonucleoside-diphosphate reductase subunit M2 B",0,0
"P48962","Slc25a4","11739","ADP/ATP translocase 1",0,0
"P68510","Ywhah","22629","14-3-3 protein eta",0,0
"Q63918","Cavin2","20324","Caveolae-associated protein 2",0,0
"F8VPU2","Farp1","223254","FERM, ARHGEF and pleckstrin domain-containing protein 1",0,0
"Q9Z2Y3","Homer1","26556","Homer protein homolog 1",0,0
"Q9QWW1","Homer2","26557","Homer protein homolog 2",0,0
"Q61210","Arhgef1","16801","Rho guanine nucleotide exchange factor 1",0,0
"Q8BZ98","Dnm3","103967","Dynamin-3",0,0
"Q9D114","Hddc3","68695","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1",0,0
"O88712","Ctbp1","13016","C-terminal-binding protein 1",0,0
"Q8BNN1","Spata2l","78779","Spermatogenesis-associated protein 2-like protein",0,0
"Q61481","Pde1a","18573","Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",0,0
"Q8BHK1","Nipa1","233280","Magnesium transporter NIPA1",0,0
"Q8BJ42","Dlgap2","244310","Disks large-associated protein 2",0,0
"P46638","Rab11b","19326","Ras-related protein Rab-11B",0,0
"P26883","Fkbp1a","14225","Peptidyl-prolyl cis-trans isomerase FKBP1A",0,0
"P62259","Ywhae","22627","14-3-3 protein epsilon",0,0
"P35293","Rab18","19330","Ras-related protein Rab-18",0,0
"Q9QYF9","Ndrg3","29812","Protein NDRG3",0,0
"P23927","Cryab","12955","Alpha-crystallin B chain",0,0
"Q9EPL8","Ipo7","233726","Importin-7",0,0
"Q3UUG6","Tbc1d24","224617","TBC1 domain family member 24",0,0
"Q9CYZ2","Tpd52l2","66314","Tumor protein D54",0,0
"P62075","Timm13","30055","Mitochondrial import inner membrane translocase subunit Tim13",0,0
"Q8R5J9","Arl6ip5","65106","PRA1 family protein 3",0,0
"Q5DU25","Iqsec2","245666","IQ motif and SEC7 domain-containing protein 2",0,0
"Q8K1M6","Dnm1l","74006","Dynamin-1-like protein",0,0
"Q9CQ92","Fis1","66437","Mitochondrial fission 1 protein",0,0
"P63034","Cyth2","19158","Cytohesin-2",0,0
"Q9Z0J4","Nos1","18125","Nitric oxide synthase 1",0,0
"P35802","Gpm6a","234267","Neuronal membrane glycoprotein M6-a",0,0
"P19096","Fasn","14104","Fatty acid synthase",0,0
"Q8R191","Syngr3","20974","Synaptogyrin-3",0,0
"O55100","Syngr1","20972","Synaptogyrin-1",0,0
"P11983","Tcp1","21454","T-complex protein 1 subunit alpha",0,0
"P40142","Tkt","21881","Transketolase",0,0
"P56387","Dynlt3","67117","Dynein light chain Tctex-type 3",0,0
"P70168","Kpnb1","16211","Importin subunit beta-1",0,0
"Q8K0S0","Phyhip","105653","Phytanoyl-CoA hydroxylase-interacting protein",0,0
"P23492","Pnp","18950","Purine nucleoside phosphorylase",0,0
"Q8C079","Strip1","229707","Striatin-interacting protein 1",0,0
"O35239","Ptpn9","56294","Tyrosine-protein phosphatase non-receptor type 9",0,0
"Q64674","Srm","20810","Spermidine synthase",0,0
"P97441","Slc30a3","22784","Probable proton-coupled zinc antiporter SLC30A3",0,0
"Q9WV96","Timm10b","14356","Mitochondrial import inner membrane translocase subunit Tim10 B",0,0
"Q8VCT3","Rnpep","215615","Aminopeptidase B",0,0
"Q8VBY2","Camkk1","55984","Calcium/calmodulin-dependent protein kinase kinase 1",0,0
"Q8R5C5","Actr1b","226977","Beta-centractin",0,0
"P61164","Actr1a","54130","Alpha-centractin",0,0
"P61979","Hnrnpk","15387","Heterogeneous nuclear ribonucleoprotein K",0,0
"Q8K2C9","Hacd3","57874","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3",0,0
"Q8BG05","Hnrnpa3","229279","Heterogeneous nuclear ribonucleoprotein A3",0,0
"Q9Z0P4","Palm","18483","Paralemmin-1",0,0
"Q8BGB5","Limd2","67803","LIM domain-containing protein 2",0,0
"P35803","Gpm6b","14758","Neuronal membrane glycoprotein M6-b",0,0
"Q9QXL2","Kif21a","16564","Kinesin-like protein KIF21A",0,0
"Q9CR68","Uqcrfs1","66694","Cytochrome b-c1 complex subunit Rieske, mitochondrial",0,0
