"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT1339NR","N-Acetyl-L-phenylalanine","C03519","mmu00360","Phenylalanine metabolism"
"FT0521NR","Malic acid","C00149","mmu00020","Citrate cycle (TCA cycle)"
"FT0521NR","Malic acid","C00149","mmu00620","Pyruvate metabolism"
"FT0521NR","Malic acid","C00149","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT0521NR","Malic acid","C00149","mmu04742","Taste transduction"
"FT0521NR","Malic acid","C00149","mmu04922","Glucagon signaling pathway"
"FT0521NR","Malic acid","C00149","mmu04964","Proximal tubule bicarbonate reclamation"
"FT0521NR","Malic acid","C00149","mmu05200","Pathways in cancer"
"FT0521NR","Malic acid","C00149","mmu05211","Renal cell carcinoma"
"FT0521NR","Malic acid","C00149","mmu05230","Central carbon metabolism in cancer"
"FT2131NR","Glucose 6-phosphate","C00092","mmu00500","Starch and sucrose metabolism"
"FT2131NR","Glucose 6-phosphate","C00092","mmu00524","Neomycin, kanamycin and gentamicin biosynthesis"
"FT2131NR","Glucose 6-phosphate","C00092","mmu00562","Inositol phosphate metabolism"
"FT2131NR","Glucose 6-phosphate","C00092","mmu04911","Insulin secretion"
"FT2131NR","Glucose 6-phosphate","C00092","mmu04917","Prolactin signaling pathway"
"FT2131NR","Glucose 6-phosphate","C00092","mmu04918","Thyroid hormone synthesis"
"FT2131NR","Glucose 6-phosphate","C00092","mmu04931","Insulin resistance"
"FT2131NR","Glucose 6-phosphate","C00092","mmu04973","Carbohydrate digestion and absorption"
"FT2131NR","Glucose 6-phosphate","C00092","mmu05230","Central carbon metabolism in cancer"
"FT2131NR","Glucose 6-phosphate","C00092","mmu05415","Diabetic cardiomyopathy"
"FT0435NR","Imidazoleacetic acid","C02835","mmu00340","Histidine metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00220","Arginine biosynthesis"
"FT1228PR","L-Glutamine","C00064","mmu00230","Purine metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00240","Pyrimidine metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00470","D-Amino acid metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00750","Vitamin B6 metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00910","Nitrogen metabolism"
"FT1228PR","L-Glutamine","C00064","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1228PR","L-Glutamine","C00064","mmu02010","ABC transporters"
"FT1228PR","L-Glutamine","C00064","mmu04382","Cornified envelope formation"
"FT1228PR","L-Glutamine","C00064","mmu04724","Glutamatergic synapse"
"FT1228PR","L-Glutamine","C00064","mmu04727","GABAergic synapse"
"FT1228PR","L-Glutamine","C00064","mmu04964","Proximal tubule bicarbonate reclamation"
"FT1228PR","L-Glutamine","C00064","mmu04974","Protein digestion and absorption"
"FT1228PR","L-Glutamine","C00064","mmu04978","Mineral absorption"
"FT1228PR","L-Glutamine","C00064","mmu05230","Central carbon metabolism in cancer"
"FT0178PR","1-Aminocyclopropanecarboxylic acid","C01234","mmu00270","Cysteine and methionine metabolism"
"FT6590NR","Uridine diphosphategalactose","C00052","mmu00052","Galactose metabolism"
"FT6590NR","Uridine diphosphategalactose","C00052","mmu00520","Amino sugar and nucleotide sugar metabolism"
"FT1060PR","Dopamine","C03758","mmu00350","Tyrosine metabolism"
"FT1060PR","Dopamine","C03758","mmu04024","cAMP signaling pathway"
"FT1060PR","Dopamine","C03758","mmu04080","Neuroactive ligand-receptor interaction"
