"PathwayID","PathwayName","SetSize","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","Concordant","MeanAbsR","MinAbsR","VIPORAFoldEnrichment","VIPORAOverlap","VIPORAPvalue","VIPORAFDR"
"mmu00670","One carbon pool by folate",5,0.696050636641491,0.124537609513704,0.565060988679585,6,0.422439488554702,0.297114157296608,0.583331164433329,8,TRUE,0.559245062598096,0.422439488554702,2.15454545454545,1,0.388283544735279,1
"mmu00983","Drug metabolism - other enzymes",4,-0.582609566843792,0.224964370609082,0.660122037864857,6,-0.390954529371833,0.338229765453386,0.634922542166883,8,TRUE,0.486782048107812,0.390954529371833,0,0,1,1
"mmu00590","Arachidonic acid metabolism",9,0.389425837959477,0.445389940748898,0.925305243773005,6,0.65135564701661,0.0801752187746261,0.476597133826944,8,TRUE,0.520390742488043,0.389425837959477,0,0,1,1
"mmu05208","Chemical carcinogenesis - reactive oxygen species",4,0.381653985223729,0.455314836956501,0.925305243773005,6,0.395831234166077,0.331697126928271,0.633778438952233,8,TRUE,0.388742609694903,0.381653985223729,2.69318181818182,1,0.324502682101042,1
"mmu04918","Thyroid hormone synthesis",4,0.446252220253919,0.375055236151659,0.849717999360622,6,0.350522927192749,0.394619512478696,0.638488091793299,8,TRUE,0.398387573723334,0.350522927192749,2.69318181818182,1,0.324502682101042,1
"mmu04976","Bile secretion",14,0.342396966538628,0.50647512125446,0.929261146718664,6,0.420287821684086,0.299843121904982,0.583331164433329,8,TRUE,0.381342394111357,0.342396966538628,0.76948051948052,1,0.754594033292703,1
"mmu00660","C5-Branched dibasic acid metabolism",3,0.764151016900029,0.0768775947281929,0.565060988679585,6,0.341970482981433,0.407040731894648,0.638488091793299,8,TRUE,0.553060749940731,0.341970482981433,0,0,1,1
"mmu04721","Synaptic vesicle cycle",4,0.930020049998102,0.00717443742868205,0.208697343241286,6,0.334878626413292,0.417466419666147,0.638488091793299,8,TRUE,0.632449338205697,0.334878626413292,2.69318181818182,1,0.324502682101042,1
"mmu04714","Thermogenesis",4,0.479961875996187,0.33534001139645,0.833695732485506,6,0.333169434919275,0.419995928728789,0.638488091793299,8,TRUE,0.406565655457731,0.333169434919275,0,0,1,1
"mmu00380","Tryptophan metabolism",11,0.351277854191329,0.494756382742425,0.929261146718664,6,0.324447787228001,0.433003995413188,0.638488091793299,8,TRUE,0.337862820709665,0.324447787228001,0,0,1,1
