"PathwayID","PathwayName","SetSize","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"mmu04742","Taste transduction",10,0.434616282837388,0.965153661174231,0.389123195968883,0.849717999360622,6,"Transcriptomics"
"mmu00590","Arachidonic acid metabolism",9,0.389425837959477,0.845605623121675,0.445389940748898,0.925305243773005,6,"Transcriptomics"
"mmu00630","Glyoxylate and dicarboxylate metabolism",14,0.386056702621884,0.837001936483367,0.449683848624634,0.925305243773005,6,"Transcriptomics"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",4,0.381653985223729,0.825818042693577,0.455314836956501,0.925305243773005,6,"Transcriptomics"
"mmu04024","cAMP signaling pathway",9,-0.379304589274136,-0.819877060242269,0.458328765607189,0.925305243773005,6,"Transcriptomics"
"mmu00380","Tryptophan metabolism",11,0.351277854191329,0.750376242077368,0.494756382742425,0.929261146718664,6,"Transcriptomics"
"mmu04976","Bile secretion",14,0.342396966538628,0.728848927514286,0.50647512125446,0.929261146718664,6,"Transcriptomics"
"mmu00270","Cysteine and methionine metabolism",15,0.328895774064724,0.696542855571461,0.524445066484071,0.929261146718664,6,"Transcriptomics"
"mmu00040","Pentose and glucuronate interconversions",6,0.321082747644684,0.678068443742072,0.534926751930255,0.929261146718664,6,"Transcriptomics"
"mmu02010","ABC transporters",32,0.316647904791906,0.667651029525665,0.540902635695494,0.929261146718664,6,"Transcriptomics"
"mmu05032","Morphine addiction",4,0.314121880214063,0.661739237158794,0.544314784028794,0.929261146718664,6,"Transcriptomics"
"mmu05146","Amoebiasis",4,0.308909877797664,0.649590366937608,0.551374094130688,0.929261146718664,6,"Transcriptomics"
"mmu00260","Glycine, serine and threonine metabolism",11,0.307014592127844,0.645188696696385,0.553947396346475,0.929261146718664,6,"Transcriptomics"
"mmu00053","Ascorbate and aldarate metabolism",9,0.288934649423424,0.603614153099673,0.578658624997813,0.929261146718664,6,"Transcriptomics"
"mmu00310","Lysine degradation",6,0.288378196157461,0.602346110387955,0.579423757233951,0.929261146718664,6,"Transcriptomics"
