"PathwayID","PathwayName","SetSize","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","Asphyxia-1","Asphyxia-2","Asphyxia-3","Asphyxia-4","Asphyxia-5","Asphyxia-6"
"mmu02010","ABC transporters",32,0.448890203712529,0.441105311629669,0.443557174620974,0.430223827309249,0.448438263448302,0.44881540083434,0.450026089783702,0.447581816822088,0.44462949749343,0.440511351331668,0.443750387183935,0.445153160217643
"mmu04022","cGMP-PKG signaling pathway",3,0.274195927448457,0.330180730832881,0.283572140636807,0.300011150610384,0.31872185341948,0.327343934527887,0.311545095934313,0.295829079559254,0.31750092172967,0.291981885729568,0.315615917524725,0.304717523459534
"mmu04024","cAMP signaling pathway",9,0.28946567792172,0.337813063529423,0.295142196128312,0.293275343726883,0.330553477840958,0.313458925913057,0.303219955913902,0.303032987707905,0.29399593383834,0.324151314431197,0.30879824589163,0.310300127873624
"mmu04068","FoxO signaling pathway",3,0.421404964757624,0.451821548824441,0.437950625933777,0.45872373904818,0.459328034032269,0.447111572338584,0.456101649188311,0.451260152279121,0.469902607447366,0.417495990892099,0.448739824133315,0.416243356017827
"mmu04071","Sphingolipid signaling pathway",4,0.242418103878702,0.287948854280772,0.311801019629386,0.314343625348575,0.311278101318933,0.249368405233417,0.223271308247186,0.218338542914939,0.237750976993475,0.234614350852071,0.232225324689044,0.213669255376225
"mmu04072","Phospholipase D signaling pathway",5,0.213962563145118,0.234973638832188,0.26276100532518,0.257006930199407,0.254029423281051,0.236575976859647,0.228524043289627,0.208570900023247,0.2442857352953,0.20237107108028,0.22621757786524,0.195111180898717
"mmu04080","Neuroactive ligand-receptor interaction",15,0.352745946374459,0.356898868005489,0.375265212064764,0.381857408116736,0.374146619461458,0.354007120825091,0.361162480174502,0.346846966442607,0.365854811219703,0.348994710592703,0.357537544292564,0.335255203609012
"mmu04082","Neuroactive ligand signaling",7,0.322896440839879,0.338892093296794,0.338442970159487,0.337521168996737,0.33938710677981,0.344935561490065,0.344781529012469,0.339749445469968,0.346216543846585,0.334753504927889,0.357138340010587,0.329518968728721
"mmu04122","Sulfur relay system",4,0.329227184011967,0.33152646157789,0.31929031963262,0.326044260958806,0.333256912184848,0.354772916777772,0.362670933261703,0.338086291191599,0.368837104597199,0.342661115277243,0.341563743459445,0.319270858176051
"mmu04148","Efferocytosis",16,0.276537517457028,0.290666811827408,0.298281932357834,0.292329237575327,0.294731884657936,0.274443164063623,0.260999263850178,0.273001034515567,0.290444568296629,0.29182209690355,0.265167064630104,0.264956298748296
