"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"FT4316PR","Pipericine",NA,"Fatty Acyls","Fatty amides",1.11409374759073,FALSE,-0.683307866740733,-0.826592418315386,-2.93742337834394,0.0424980846674725,0.717627196300257,6,"Transcriptomics"
"FT2318NR","Phosphocitrate",NA,"Carboxylic acids and derivatives","Tricarboxylic acids and derivatives",0.699849204967707,FALSE,0.155292051157251,0.82338070460951,2.90183643787118,0.0440367989454977,0.717627196300257,6,"Transcriptomics"
"FT4613NR","D-Erythrose 4-phosphate","C00279","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.880699135387336,FALSE,0.335677154119912,0.822828431434785,2.89580539745017,0.0443039601366958,0.717627196300257,6,"Transcriptomics"
"FT3686PR","Linoleamide",NA,"Fatty Acyls","Fatty amides",1.30103561967089,FALSE,-0.677586207036801,-0.822254364295324,-2.88956328439264,0.0445824621685985,0.717627196300257,6,"Transcriptomics"
"FT4286PR","2,4,12-Octadecatrienoic acid isobutylamide",NA,"Fatty Acyls","Fatty amides",0.982314124366806,FALSE,-0.602358506183768,-0.821890467765183,-2.88562057478856,0.044759423376427,0.717627196300257,6,"Transcriptomics"
"FT4457PR","N-Acetylsphinganine",NA,"Sphingolipids","Ceramides",1.15323582459959,FALSE,-0.89093760075667,-0.821119875814005,-2.8773073117234,0.0451352362970902,0.717627196300257,6,"Transcriptomics"
"FT4886NR","Epanolol","C11773","Phenol ethers","Unclassified",0.176601203846829,FALSE,-0.143855235270803,-0.820100658397286,-2.86638594654957,0.0456345489265825,0.717627196300257,6,"Transcriptomics"
"FT1887PR","N-Acetyl-dl-penicillamine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.17693158538471,FALSE,-0.716008626854102,-0.817870144171143,-2.84277410036561,0.0467361859550804,0.717627196300257,6,"Transcriptomics"
"FT1741NR","2,4-Thiazolidinedicarboxylic acid, 2-methyl-",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.0233008192409104,FALSE,-0.0501607194517573,0.81768299908746,2.84081077892417,0.0468291712756915,0.717627196300257,6,"Transcriptomics"
"FT1891NR","Sedoheptulose","C08355","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.14960606436195,FALSE,0.395988581760462,0.817137613043356,2.83510466176959,0.0471006429330363,0.717627196300257,6,"Transcriptomics"
"FT3301PR","4-(Dodecylamino)Phenol",NA,"Organonitrogen compounds","Amines",1.06281646694615,FALSE,-0.538546797751354,-0.816929226384243,-2.83293046945247,0.0472045621468587,0.717627196300257,6,"Transcriptomics"
"FT3337PR","9,12,15-Octadecatrienal",NA,"Fatty Acyls","Fatty aldehydes",0.532631683411632,FALSE,-0.216122910265353,-0.816847972792665,-2.83208361836717,0.0472451109004394,0.717627196300257,6,"Transcriptomics"
"FT1540NR","1-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxyhydropyridin-2-one",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.807326937811629,FALSE,-0.399067514639236,0.81377339619052,2.8004067007407,0.0487913202392613,0.717627196300257,6,"Transcriptomics"
"FT4166PR","Farnesylcysteine","C19691","Prenol lipids","Sesquiterpenoids",0.0681669377787018,FALSE,-0.00624664288017261,-0.81351901114107,-2.79781738227764,0.0489202857704938,0.717627196300257,6,"Transcriptomics"
"FT2259PR","5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one",NA,"Prenol lipids","Monoterpenoids",0.854156655676715,FALSE,-0.347506826721635,-0.813458567883143,-2.79720284512613,0.0489509518981821,0.717627196300257,6,"Transcriptomics"
"FT5071NR","cholest-5-en-23-yn-3beta-ol",NA,"Steroids and steroid derivatives","Cholestane steroids",0.376389999764492,FALSE,0.140146093969397,0.813006458052121,2.792614647251,0.0491806143310579,0.717627196300257,6,"Transcriptomics"
"FT3100NR","cinnamoyltyramine",NA,"Cinnamic acids and derivatives","Cinnamic acid amides",0.166063355823828,FALSE,0.0408753095195975,-0.811430971176269,-2.77674180713563,0.0499848229131927,0.717627196300257,6,"Transcriptomics"
"FT0962NR","N-Acetyl-L-aspartic acid","C01042","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.02174284523406,FALSE,0.259183472627981,0.810312361164944,2.76557974606008,0.0505594870552414,0.717627196300257,6,"Transcriptomics"
"FT4315PR","2-AOD-3-ol",NA,"Organonitrogen compounds","Amines",1.15126872421017,FALSE,-0.68054299367712,-0.809940845554516,-2.76189211311558,0.0507510190721864,0.717627196300257,6,"Transcriptomics"
"FT3407PR","9-Octadecenamide",NA,"Fatty Acyls","Fatty amides",0.580334102298802,FALSE,-0.226083735399372,-0.809707579990755,-2.75958168058454,0.0508714487432628,0.717627196300257,6,"Transcriptomics"
"FT5055PR","2-Hydroxyethyl glucosinolate",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.0949976084565,FALSE,-0.358435440279433,-0.809359086908013,-2.75613702340995,0.0510516139719214,0.717627196300257,6,"Transcriptomics"
"FT5501NR","7alpha-Hydroxycampesterol",NA,"Steroids and steroid derivatives","Ergostane steroids",0.5642257254608,FALSE,0.189407991676731,0.808676422940405,2.74941369992254,0.0514053945721565,0.717627196300257,6,"Transcriptomics"
"FT4064NR","Phosphoribosyl formamidocarboxamide","C04734","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides",0.392344418074022,FALSE,0.0958519808205276,-0.807478321744565,-2.73769144810932,0.0520290257269524,0.717627196300257,6,"Transcriptomics"
"FT4368NR","6,7-dihydro-12-epi-LTB4",NA,"Fatty Acyls","Eicosanoids",2.57219553870831,TRUE,-1.91228715358657,-0.806801988704804,-2.731117279126,0.0523826039137911,0.717627196300257,6,"Transcriptomics"
"FT1941NR","Bisphenol S","C14216","Benzene and substituted derivatives","Benzenesulfonyl compounds",1.92506138354717,TRUE,-1.4769094953042,-0.806344206306581,-2.72668496229031,0.0526225550126716,0.717627196300257,6,"Transcriptomics"
"FT3592NR","N-Oleoyl glycine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.215280415128919,FALSE,-0.0437590053168346,0.804734031796378,2.71120576907252,0.0534705691457432,0.722112249337173,6,"Transcriptomics"
"FT2332NR","2S-hydroxypalmitic acid",NA,"Fatty Acyls","Fatty acids and conjugates",0.191189638595214,FALSE,-0.0501605060604199,-0.802165908905317,-2.68686747209181,0.0548360436651063,0.72308367718528,6,"Transcriptomics"
"FT4222PR","EPA (d5)","C06428","Fatty Acyls","Fatty acids and conjugates",0.124695349308704,FALSE,-0.0871334468665038,-0.801080307230312,-2.67670569296858,0.0554180352024795,0.72308367718528,6,"Transcriptomics"
"FT2662PR","Bulnesol",NA,"Prenol lipids","Sesquiterpenoids",0.273644318215102,FALSE,-0.100209875766304,-0.799403233600062,-2.66115201656567,0.0563226811058666,0.72308367718528,6,"Transcriptomics"
"FT2185NR","tri-glyceride",NA,"Carboxylic acids and derivatives","Tricarboxylic acids and derivatives",0.701094593644518,FALSE,0.216230636331545,0.799011155792112,2.65754075875037,0.056535148764248,0.72308367718528,6,"Transcriptomics"
"FT1054PR","Adenine","C00147","Imidazopyrimidines","Purines and purine derivatives",0.908468072763029,FALSE,0.278468513055282,0.798185152273352,2.64996342336609,0.0569839671903581,0.72308367718528,6,"Transcriptomics"
"FT4879PR","N-Benzyloctadecanamide",NA,"Fatty Acyls","Fatty amides",0.0871913086163031,FALSE,0.0502936926110973,0.797983980866928,2.64812423223709,0.0570935234347462,0.72308367718528,6,"Transcriptomics"
"FT0537NR","2-Aminopurine",NA,"Imidazopyrimidines","Purines and purine derivatives",0.549525160200251,FALSE,0.176877081504748,0.797822909021052,2.64665340468551,0.0571813116393823,0.72308367718528,6,"Transcriptomics"
"FT2430NR","Polyribosylribitolphosphate",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.743306701315629,FALSE,0.256601282241248,0.79017274074896,2.57853847016468,0.0614221354909253,0.760267849808906,6,"Transcriptomics"
"FT3914NR","1,7-Dimethylguanosine",NA,"Purine nucleosides","Unclassified",1.12112086531963,FALSE,0.429785521738298,0.788898527852968,2.56751303412465,0.0621420020923841,0.760267849808906,6,"Transcriptomics"
"FT3829PR","8,11,14,17-eicosatetraenoic acid",NA,"Fatty Acyls","Fatty acids and conjugates",0.0114496905721079,FALSE,-0.0010308766207727,-0.783168324819947,-2.51899657376268,0.0654266866931652,0.760267849808906,6,"Transcriptomics"
"FT3019PR","5-Hydroxy-2-(5-methyl-1-oxo-4-hexenyl)benzofuran",NA,"Benzofurans","Unclassified",0.471430294813729,FALSE,-0.182701939273718,-0.779010558487189,-2.48483934279286,0.0678583428838699,0.760267849808906,6,"Transcriptomics"
"FT2864PR","13-amino-tridecanoic acid",NA,"Fatty Acyls","Fatty acids and conjugates",0.170305505203762,FALSE,-0.0971466492957849,-0.77874455647463,-2.48268285658569,0.068015290619407,0.760267849808906,6,"Transcriptomics"
"FT5378PR","Armillarin",NA,"Prenol lipids","Sesquiterpenoids",0.991614484923616,FALSE,-0.405759400823853,-0.778010830283175,-2.47675212249483,0.0684490638078031,0.760267849808906,6,"Transcriptomics"
