"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","DirectionPattern","Concordant","MeanAbsR","MinAbsR"
"FT4358PR","Erucamide",NA,"Fatty Acyls","Fatty amides",1.04346465799761,FALSE,-0.600037282089572,-0.711836709489722,0.112592859523505,0.763983744376561,6,-0.545721662265233,0.161774605146956,0.73182874112434,8,"RNA negative / Protein negative",TRUE,0.628779185877478,0.545721662265233
"FT5274NR","24-epibrassicasterol","C08813","Steroids and steroid derivatives","Ergostane steroids",0.0629805782354515,FALSE,-0.0475622742286865,-0.910444291150325,0.011671209014404,0.543896992986746,6,-0.545239944523541,0.16222028766673,0.73182874112434,8,"RNA negative / Protein negative",TRUE,0.727842117836933,0.545239944523541
"FT5371PR","Heptadecanoyl carnitine",NA,"Fatty Acyls","Fatty acid esters",0.814597435475573,FALSE,-0.289664926176553,-0.5438990697787,0.264601192314998,0.872427299627174,6,-0.916852427857748,0.00134897717643559,0.249161067041036,8,"RNA negative / Protein negative",TRUE,0.730375748818224,0.5438990697787
"FT2457PR","4-Oxo-beta-ionol",NA,"Prenol lipids","Sesquiterpenoids",0.13529942228027,FALSE,-0.0144017214221534,-0.540288763952691,0.268425226977452,0.872427299627174,6,-0.61996556418522,0.101079489082381,0.670975275146856,8,"RNA negative / Protein negative",TRUE,0.580127164068955,0.540288763952691
"FT6942PR","Cer(d18:2/20:0(2OH[R]))",NA,"Sphingolipids","Ceramides",0.59552722453009,FALSE,0.132296597403581,0.536790437173258,0.272150808976138,0.872427299627174,6,0.643297607083489,0.0852748532315718,0.646160695925008,8,"RNA positive / Protein positive",TRUE,0.590044022128374,0.536790437173258
"FT6192PR","PC(O-16:0/1:0)",NA,"Glycerophospholipids","Glycerophosphocholines",0.334849344562571,FALSE,0.161180985154016,-0.544173881203079,0.264310981431074,0.872427299627174,6,-0.533399130473925,0.173384739738378,0.738625629999979,8,"RNA negative / Protein negative",TRUE,0.538786505838502,0.533399130473925
"FT2489PR","3-hydroxy-.beta.-ionol",NA,"Prenol lipids","Sesquiterpenoids",1.04480498992834,FALSE,-0.510716626873623,-0.532824919148706,0.27639775646563,0.875784235179251,6,-0.812955097394643,0.0141506297961262,0.501477491291417,8,"RNA negative / Protein negative",TRUE,0.672890008271674,0.532824919148706
"FT2917NR","FA(15:0;O)",NA,"Fatty Acyls","Fatty alcohols",1.58142387068179,TRUE,0.637002688083497,0.59659950811484,0.211274859559778,0.855473160224122,6,0.530045582217557,0.176619726762141,0.738625629999979,8,"RNA positive / Protein positive",TRUE,0.563322545166198,0.530045582217557
"FT3579NR","FA(22:1)","C08316","Fatty Acyls","Fatty acids and conjugates",0.89674262852532,FALSE,-0.319307535538336,-0.524157168622349,0.285767910581646,0.876885269600792,6,-0.785505227743248,0.020872572111007,0.51957795576328,8,"RNA negative / Protein negative",TRUE,0.654831198182799,0.524157168622349
"FT3272NR","WE(5:1/16:0)",NA,"Fatty Acyls","Fatty acid esters",0.168303244956075,FALSE,-0.0470719133462359,-0.521797823727564,0.288338985710711,0.876885269600792,6,-0.880280533067535,0.00391381881916231,0.340991464619516,8,"RNA negative / Protein negative",TRUE,0.70103917839755,0.521797823727564
"FT3278PR","6-Phosphogluconic acid","C00345","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.868822970815218,FALSE,0.250635609861047,0.515349965670903,0.295409813095362,0.876885269600792,6,0.608383239634248,0.109502808810305,0.675854684599613,8,"RNA positive / Protein positive",TRUE,0.561866602652575,0.515349965670903
"FT3845PR","all-trans-13,14-dihydroretinol","C15492","Prenol lipids","Retinoids",0.689906925538012,FALSE,-0.441690143257435,-0.601883510230315,0.206195026369587,0.846068677522405,6,-0.514095402502488,0.192445237380389,0.738625629999979,8,"RNA negative / Protein negative",TRUE,0.557989456366401,0.514095402502488
"FT2003NR","8-hydroxy-3E,5E,10E,12-tridecatetraen-2-one",NA,"Fatty Acyls","Fatty alcohols",1.04977890616737,FALSE,0.457542959916282,0.511891546738374,0.299228907367379,0.876885269600792,6,0.526888699821027,0.179694376072097,0.738625629999979,8,"RNA positive / Protein positive",TRUE,0.5193901232797,0.511891546738374
"FT2283PR","Tridecanamide",NA,"Fatty Acyls","Fatty amides",0.834284970736858,FALSE,-0.277398915755572,-0.675575629129816,0.140803735924808,0.789749986578259,6,-0.511019570461028,0.195580213305784,0.738625629999979,8,"RNA negative / Protein negative",TRUE,0.593297599795422,0.511019570461028
"FT4993PR","Sphinganine 1-phosphate","C01120","Sphingolipids","Phosphosphingolipids",2.54455478342286,TRUE,-1.64681917483968,-0.507531817059994,0.304069465642145,0.876885269600792,6,-0.723263722816224,0.0425950719369336,0.570937791154668,8,"RNA negative / Protein negative",TRUE,0.615397769938109,0.507531817059994
"FT3337PR","9,12,15-Octadecatrienal",NA,"Fatty Acyls","Fatty aldehydes",0.532631683411632,FALSE,-0.216122910265353,-0.816847972792665,0.0472451109004394,0.717627196300257,6,-0.505785381293557,0.200976608209755,0.738625629999979,8,"RNA negative / Protein negative",TRUE,0.661316677043111,0.505785381293557
"FT3936PR","Tanshinone IIA",NA,"Prenol lipids","Diterpenoids",0.787056666578005,FALSE,0.222138011050198,0.534633865079261,0.274457301983996,0.875784235179251,6,0.505140699043295,0.201646623444233,0.738625629999979,8,"RNA positive / Protein positive",TRUE,0.519887282061278,0.505140699043295
"FT6009NR","Guanosine 5'-O-(2-thiodiphosphate)",NA,"Purine nucleotides","Purine ribonucleotides",0.209388724759813,FALSE,-0.0412192889548683,-0.503117053858987,0.309000616569896,0.876885269600792,6,-0.708238403600345,0.0492965116772841,0.584128132428263,8,"RNA negative / Protein negative",TRUE,0.605677728729666,0.503117053858987
